messages,sentiment
"['selamat', 'pagi', 'mohon', 'maaf', 'ganggu', 'mahasiswa', 'teknik', 'informatika', 'angkat', 'informasi', 'bimbing', 'skripsi', 'dosen', 'bimbing', 'perihal', 'surat', 'tugas', 'terbit', 'tanggal', 'oktober', 'komunikasi', 'kait', 'kerja', 'skripsi', 'media', 'iya', 'mohon', 'maaf', 'terima', 'kasih', 'wassalamualaikum']",1
"['whatsapp', 'alaykumsalam', 'via', 'whatsapp', 'iya']",1
"['perihal', 'bimbing', 'tentu', 'jam']",1
"['kamis', 'jumat']",1
"['laksana', 'p0', 'tentu', 'bahas', 'bimbing', 'iya']",1
['bimbing'],1
['bimbing'],1
"['oke', 'p0']",1
"['p0', 'kamis', 'terima', 'kasih', 'mohon', 'maaf', 'ganggu']",1
"['mohon', 'maaf', 'ganggu', 'mahasiswa', 'teknik', 'informatika', 'angkat', 'dosen', 'bimbing', 'mohon', 'izin', 'perihal', 'bimbing', 'p0', 'laksana', 'mekanisme', 'iya', 'video', 'conference', 'laksana', 'iya', 'mohon', 'maaf', 'terima', 'kasih', 'wassalamualaikum']",1
"['whatsapp', 'alaykumsalam', 'pakai', 'zoom', 'sore', 'jam', 'iya']",1
"['terima', 'kasih']",1
"['inviting', 'you', 'scheduled', 'zoom', 'meeting', 'topik', 'p0', 'skripsi', 'time', 'oktober', 'pm', 'jakarta', 'join', 'zoom', 'meeting', 'meeting', 'passcode']",1
"['terima', 'kasih']",1
"['mohon', 'maaf', 'ganggu', 'mahasiswa', 'teknik', 'informatika', 'angkat', 'dosen', 'bimbing', 'mohon', 'izin', 'progres', 'skripsi', 'bimbing', 'baik', 'dokumen', 'proposal', 'saran', 'masuk', 'baik', 'rumus', 'hitung', 'akurasi', 'kualitas', 'clustering', 'tabel', 'interpretasi', 'silhouette', 'coefficient', 'sitasi', 'sumber', 'perihal', 'saran', 'kait', 'justifikasi', 'positif', 'negatif', 'masuk', 'dalam', 'netral', 'temu', 'sumber', 'justifikasi', 'temu', 'sumber', 'justifikasi', 'dokumen', 'proposal', 'iya', 'dokumen', 'proposal', 'p0', 'lampir', 'mohon', 'maaf', 'terima', 'kasih', 'wassalamualaikum', 'media', 'omitted']",-1
"['oke', 'silah', 'justifikasi']",-1
"['terima', 'kasih']",-1
"['mohon', 'maaf', 'ganggu', 'mahasiswa', 'teknik', 'informatika', 'angkat', 'dosen', 'bimbing', 'mohon', 'izin', 'informasi', 'progres', 'skripsi', 'bimbing', 'justifikasi', 'ekspresi', 'sentimen', 'netral', 'ambil', 'ekspresi', 'positif', 'negatif', 'justifikasi', 'tempat', 'feature', 'vector', 'extraction', 'kamus', 'ekspresi', 'sentimen', 'tahap', 'jelas', 'perihal', 'kondisi', 'teliti', 'dokumen', 'proposal', 'lampir', 'mohon', 'maaf', 'terima', 'kasih', 'wassalamualaikum', 'media', 'omitted']",-1
