messages,sentiment,session_index
"['selamat', 'pagi', 'mohon', 'maaf', 'ganggu', 'mahasiswa', 'teknik', 'informatika', 'angkat', 'informasi', 'bimbing', 'skripsi', 'dosen', 'bimbing', 'perihal', 'surat', 'tugas', 'terbit', 'tanggal', 'oktober', 'komunikasi', 'kait', 'kerja', 'skripsi', 'media', 'iya', 'mohon', 'maaf', 'terima', 'kasih', 'wassalamualaikum']",1,0
"['alaykumsalam', 'via', 'iya']",1,0
"['perihal', 'bimbing', 'tentu', 'jam']",1,0
"['kamis', 'jumat']",1,0
"['laksana', 'p0', 'tentu', 'bahas', 'bimbing', 'iya']",1,0
['bimbing'],1,0
['bimbing'],1,0
"['oke', 'p0']",1,0
"['p0', 'kamis', 'terima', 'kasih', 'mohon', 'maaf', 'ganggu']",1,0
"['mohon', 'maaf', 'ganggu', 'mahasiswa', 'teknik', 'informatika', 'angkat', 'dosen', 'bimbing', 'mohon', 'izin', 'perihal', 'bimbing', 'p0', 'laksana', 'mekanisme', 'iya', 'video', 'conference', 'laksana', 'iya', 'mohon', 'maaf', 'terima', 'kasih', 'wassalamualaikum']",1,1
"['alaykumsalam', 'pakai', 'zoom', 'sore', 'jam', 'iya']",1,1
"['terima', 'kasih']",1,1
"['inviting', 'you', 'scheduled', 'zoom', 'meeting', 'topik', 'p0', 'skripsi', 'time', 'oktober', 'pm', 'jakarta', 'join', 'zoom', 'meeting', 'meeting', 'passcode']",1,1
"['terima', 'kasih']",1,1
"['mohon', 'maaf', 'ganggu', 'mahasiswa', 'teknik', 'informatika', 'angkat', 'dosen', 'bimbing', 'mohon', 'izin', 'progres', 'skripsi', 'bimbing', 'baik', 'dokumen', 'proposal', 'saran', 'masuk', 'baik', 'rumus', 'hitung', 'akurasi', 'kualitas', 'clustering', 'tabel', 'interpretasi', 'silhouette', 'coefficient', 'sitasi', 'sumber', 'perihal', 'saran', 'kait', 'justifikasi', 'positif', 'negatif', 'masuk', 'dalam', 'netral', 'temu', 'sumber', 'justifikasi', 'temu', 'sumber', 'justifikasi', 'dokumen', 'proposal', 'iya', 'dokumen', 'proposal', 'p0', 'lampir', 'mohon', 'maaf', 'terima', 'kasih', 'wassalamualaikum', 'media', 'omitted']",-1,2
"['oke', 'silah', 'justifikasi']",-1,3
"['terima', 'kasih']",-1,4
"['mohon', 'maaf', 'ganggu', 'mahasiswa', 'teknik', 'informatika', 'angkat', 'dosen', 'bimbing', 'mohon', 'izin', 'informasi', 'progres', 'skripsi', 'bimbing', 'justifikasi', 'ekspresi', 'sentimen', 'netral', 'ambil', 'ekspresi', 'positif', 'negatif', 'justifikasi', 'tempat', 'feature', 'vector', 'extraction', 'kamus', 'ekspresi', 'sentimen', 'tahap', 'jelas', 'perihal', 'kondisi', 'teliti', 'dokumen', 'proposal', 'lampir', 'mohon', 'maaf', 'terima', 'kasih', 'wassalamualaikum', 'media', 'omitted']",-1,5
"['mohon', 'maaf', 'ganggu', 'mahasiswa', 'teknik', 'informatika', 'angkat', 'dosen', 'bimbing', 'mohon', 'izin', 'informasi', 'progres', 'skripsi', 'bimbing', 'selasa', 'konsultasi', 'perihal', 'judul', 'skripsi', 'beliau', 'skripsi', 'cenderung', 'arah', 'clustering', 'kelompok', 'alangkah', 'judul', 'ubah', 'kelompok', 'opini', 'masyarakat', 'twitter', 'karantina', 'covid', 'metode', 'improved', 'means', 'denclue', 'barangkali', 'saran', 'masuk', 'kait', 'judul', 'skripsi', 'mohon', 'maaf', 'terima', 'kasih', 'wassalamualaikum']",1,6
"['oke', 'silah', 'mmg', 'data', 'atribut', 'kelas', 'pakai', 'clustering']",1,6
"['terima', 'kasih']",1,6
"['mohon', 'maaf', 'ganggu', 'mahasiswa', 'teknik', 'informatika', 'angkat', 'dosen', 'bimbing', 'mohon', 'izin', 'kerja', 'skripsi', 'bimbing', 'perihal', 'dokumen', 'skripsi', 'selesai', 'kece', 'kait', 'tulis', 'kirim', 'skripsi', 'mohon', 'maaf', 'terima', 'kasih', 'wassalamualaikum']",-1,7
"['mohon', 'maaf', 'ganggu', 'mahasiswa', 'teknik', 'informatika', 'angkat', 'dosen', 'bimbing', 'mohon', 'izin', 'informasi', 'kerja', 'skripsi', 'bimbing', 'dokumen', 'skripsi', 'kodingnya', 'tahap', 'ekstraksi', 'fitur', 'barangkali', 'saran', 'masuk', 'perihal', 'tulis', 'dokumen', 'skripsi', 'mohon', 'izin', 'lampir', 'dokumen', 'skripsi', 'dokumen', 'skripsi', 'lampir', 'mohon', 'maaf', 'terima', 'kasih', 'wassalamualaikum', 'media', 'omitted']",-1,8
"['kirim', 'dokumen', 'skripsi']",-1,9
"['dokumen', 'skripsi', 'lampir', 'media', 'omitted']",1,9
"['media', 'omitted']",1,9
"['coba', 'kirim', 'format', 'pdf', 'lampir', 'format', 'pdf', 'media', 'omitted']",-1,9
"['permisi', 'mohon', 'maaf', 'ganggu', 'kenal', 'mahasiswi', 'teknik', 'informatika', 'filkom', 'rencana', 'semester', 'ganjil', 'ambil', 'kuliah', 'induksi', 'riset', 'buka', 'kelas', 'induksi', 'riset', 'iya', 'kelas', 'rencana', 'kelas', 'terima kasih', 'wassalamualaikum']",-1,10
"['buka', 'kelas', 'induksi', 'riset', 'kuota', 'penuh', 'temu', 'tatap', 'muka', 'kait', 'topik', 'usul', 'sesuai']",1,11
"['kenan', 'mana', 'iya', 'temu', 'konsultasi', 'topik', 'terima', 'kasih']",1,11
"['rapat', 'sore', 'besok', 'jam', 'iya']",1,11
"['terima', 'kasih']",1,11
"['selamat', 'pagi', 'mohon', 'maaf', 'ganggu', 'perihal', 'skripsi', 'kemarin', 'coba', 'program', 'sadar', 'parameter', 'inputkan', 'hasil', 'oleh', 'hasil', 'skripsi', 'hasil', 'oleh', 'pola', 'hasil', 'angka', 'beda', 'analisis', 'hasil', 'pola', 'besok', 'sidang', 'skripsi', 'baik', 'skripsi', 'unggah', 'filkomapps', 'terima', 'kasih', 'wassalamualaikum', 'lampir', 'skripsi', 'ubah', 'hasil', 'uji', 'document', 'omitted']",1,12
"['tampil', 'baru', 'bilang', 'terang', 'kemarin', 'update']",1,12
"['sidang', 'beritahu', 'baru']",1,12
"['baru', 'hasil', 'iya', 'hasil']",1,12
"['iyaa', 'hasil', 'terima', 'kasih']",1,12
"['selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'kait', 'laksana', 'sidang', 'skripsi', 'jumat', 'tanggal', 'juni', 'info', 'link', 'laksana', 'sidang', 'besok', 'ketua', 'majelis', 'uji', 'terima', 'kasih', 'wassalamualaikum']",1,13
"['mbak', 'terima', 'kasih', 'informasi', 'sukses', 'iya']",1,13
"['iya', 'terima', 'kasih']",1,13
[],-1,14
"['hubung', 'dosen', 'kemarin', 'beliau', 'merespon']",1,15
"['iya', 'barusan', 'hubung', 'dosen']",1,15
"['tunggu', 'beliau']",1,15
"['kemarin', 'konfirmasi', 'linknya']",1,15
"['selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'kait', 'revisi', 'skripsi', 'sidang', 'lampir', 'hasil', 'revisi', 'sedia', 'periksa', 'terima', 'kasih', 'wassalamualaikum', 'document', 'omitted']",1,16
"['sebentar', 'iya']",1,16
[],1,16
