messages,sentiment,session_index
"['[DOSEN]', 'mohon', 'maaf', 'ganggu', 'nama', '[MHS]', 'angkat', 'sedia', 'bimbing', 'skripsi', 'milik', 'topik', 'sentimen', 'analisis', 'produk', 'layan', 'indihome', 'metode', 'nearest', 'neighbor', 'information', 'topik', 'angkat', 'teliti', 'skripsi', 'terima', 'kasih']",1.0,0
"['sedia', 'topik', 'layak', 'posisi', 'map', 'kaji', 'pustaka']",1.0,0
"['terima kasih', 'mohon', 'maaf', 'mekanisme', 'bimbing', 'daring']",-1.0,0
"['[MHS]', 'silah', 'kirim', 'dokumen', 'bimbing', 'minimal', 'minggu', 'pra', 'proposal', 'p0', 'p1', 'p2', 'seminar hasil', 'sidang', 'tolong', 'cantum', 'detail', 'content', 'email', 'lampir', 'draft', 'dokumen', 'dokumen', 'skripsi', 'dlm', 'doc', 'docx', 'power point', 'p0', 'p1', 'p2', 'seminar hasil', 'sidang', 'p0', 'p1', 'p2', 'seminar hasil', 'sidang', 'contoh', 'power point', 'link', 'grup', 'kelas', 'tinggal', 'ganti', 'isi', 'contoh', 'screenshoot', 'hasil', 'running', 'program', 'deskripsi', 'poin', 'revisi', 'deskripsi', 'poin', 'progres', 'selesai', 'dan lain', 'seminar hasil', 'sidang', 'tetap', 'online', 'daring', 'google', 'meet', 'zoom', 'kirim', '[DOSEN]', 'cegah', 'covid', 'ikhtiyar', 'optimal', 'physical', 'social', 'distance', 'hindar', 'minimal', 'kumpul', 'mahasiswa', 'org', 'hindar', 'kelompok', 'stay', 'home', 'kos', 'batas', 'kecuali', 'urgent', 'pakai', 'masker', 'mudik', 'gera', 'hidup', 'sehat', 'bersih', 'dan lain', 'lahir', 'tawakal', 'batin', 'moga', 'sukses', 'skripsi', 'moga', 'hindar', 'bahaya', 'sakit', 'wabah', 'aamiin', 'mohon', 'maaf', 'khilaf', 'jaga', 'sikap', 'sopan', 'santun', 'sejuk', 'terima kasih', '[DOSEN]']",1.0,1
"['terima kasih', 'informasi']",1.0,1
"['[DOSEN]', 'abar', 'kirim', 'vidio', 'presentasi', 'p0', 'email', 'kirim', 'dosen', 'bimbing', 'timeline', 'semester', 'ganjil', 'kirim', 'vidio', 'p0', 'dosen', 'bimbing', 'timeline', 'terima', 'kasih']",1.0,2
"['[MHS]', 'cek', 'video', 'p0', 'note', 'p0', 'lanjut', 'contoh', '[LINK]', 'link', 'kelas', 'induksi', 'riset', 'tunggu', 'timeline', 'akademik']",1.0,2
"['terima', 'kasih']",1.0,2
"['maaf', 'ganggu', '[DOSEN]', 'abar', 'unggah', 'proposal', 'filkom', 'apps', 'buka', 'kelas', 'induksi', 'riset', 'semester', 'terima', 'kasih']",1.0,3
"['[MHS]', 'catat', 'request', 'dosen bimbing', 'kelas', 'induksi', 'riset', 'mahasiswa', 'timbang']",1.0,3
"['maaf', 'berfikir', 'fikir', 'dosen', 'bimbing', 'boleh', 'bingung']",1.0,3
['[MHS]'],1.0,3
"['terima', 'kasih', '[DOSEN]']",1.0,3
"['[DOSEN]', 'mohon', 'maaf', 'ganggu', 'abar', 'bimbing', 'email', 'dosen', 'bimbing', 'request', '[DOSEN]', 'boleh', 'terima', 'kasih']",1.0,4
"['[MHS]', 'catat']",1.0,4
"['terima', 'kasih', '[DOSEN]']",1.0,4
