timestamp,sender,messages,sentiment_per_chat,sentiment_per_sesi
[30/07/19 14.08.26],mahasiswa,"Assalamualaikum Wr.Wb, permisi Bu [DOSEN], mohon maaf jika mengganggu. perkenalkan saya [MHS], mahasiswi Teknik Informatika 2016 FILKOM yang rencananya pada semester ganjil ini mengambil mata kuliah induksi riset, kira-kira ibu membuka kelas induksi riset tidak ya? kalo sekiranya ibu buka kelas, rencananya saya mau ikut kelas ibu. terimakasih ibu. Wassalamualaikum Wr.Wb",1,-1
[31/07/19 07.15.49],dosen,Waalaikumsalam wr wb,1,1
[31/07/19 07.17.26],dosen,"Saya belum tentu membuka kelas induksi riset, jika kuota tidak memenuhi. Untuk lebih jelasnya, lebih baik bertemu secara tatap muka, terkait dengan topik yang diusulkan apakah sesuai atau tidak.",1,1
[31/07/19 07.29.52],mahasiswa,"baik bu, apabila ibu berkenan kira-kira kapan dan dimana ya saya bisa bertemu ibu untuk mengkonsultasikan topik saya? terima kasih.",1,1
[31/07/19 07.39.24],dosen,Hari ini saya ada rapat sampai sore. Kemungkinan bisa besok jam 11 ya sementara,1,1
[31/07/19 07.40.23],mahasiswa,"baik bu, terima kasih🙏",1,1
[01/08/19 11.20.17],dosen,https://www.researchgate.net/publication/326571864_Analisis_Sentimen_Pada_Review_Konsumen_Menggunakan_Metode_Naive_Bayes_Dengan_Seleksi_Fitur_Chi_Square_Untuk_Rekomendasi_Lokasi_Makanan_Tradisional,1,-1
[08/10/19 15.05.27],dosen,https://bib.irb.hr/datoteka/993359.IJDTE_03_01.pdf,1,-1
[08/10/19 15.06.26],dosen,https://www.cscjournals.org/manuscript/Journals/IJDE/Volume2/Issue4/IJDE-63.pdf,1,-1
[08/10/19 15.08.28],dosen,http://www.statstutor.ac.uk/resources/uploaded/coventrycorrelation.pdf,1,-1
[08/10/19 15.08.49],dosen,https://www.researchgate.net/publication/267869238_Towards_Reliable_Clustering_of_English_Text_Documents_Using_Correlation_Coefficient,1,-1
[08/10/19 15.09.38],dosen,https://medium.com/@dipti.rohan.pawar/correlation-statistical-analysis-9471411f0431,1,-1
[08/10/19 15.11.44],dosen,https://medium.com/@SilentFlame/pearson-correlation-a-mathematical-understanding-c9aa686113cb,1,-1
[08/10/19 15.11.45],dosen,https://medium.com/@sebastiannorena/finding-correlation-between-many-variables-multidimensional-dataset-with-python-5deb3f39ffb3,1,-1
[08/10/19 15.12.17],dosen,https://towardsdatascience.com/running-pearson-correlation-using-magicstat-6aa8dd4c39,1,-1
[08/10/19 15.12.48],dosen,https://www.sciencedirect.com/topics/computer-science/pearson-correlation,1,-1
[08/10/19 15.13.06],dosen,http://www.statstutor.ac.uk/resources/uploaded/pearsons.pdf,1,-1
[15/10/19 11.22.29],mahasiswa,"Assalamualaikum Wr.Wb Bu [DOSEN]. Maaf bu hari ini saya ijin datang terlambat untuk bimbingan skripsi dikarenakan bersamaan dengan bimbingan pkl saya Bu. Terimakasih sebelumnya, maaf mengganggu🙏",1,-1
[28/10/19 10.57.26],mahasiswa,"Assalamualaikum Wr.Wb Bu [DOSEN]. Maaf bu hari ini saya ijin tidak datang bimbingan karena saya sedang tidak enak badan Bu. Terimakasih sebelumnya, maaf mengganggu🙏",1,1
[28/10/19 12.46.29],dosen,Waalaikumsalam wr wb,1,1
[28/10/19 12.46.41],dosen,Semoga lekas sehat kembali ya mbak ,1,1
[28/10/19 12.46.44],dosen,Terima kasih,1,1
[28/10/19 12.55.30],mahasiswa,"Baik bu, terima kasih🙏",1,1
[30/12/19 10.59.33],mahasiswa,"Assalamualaikum Wr. Wb, Bu. Saya mau bertanya perihal P2 pada filkom apps yang belom diproses Bu. Minggu lalu, saya sudah P2 pada saat bimbingan dengan ibu tetapi di filkom apps belom diproses. Bagaimana ya bu? Terima kasih Bu. Maaf mengganggu sebelumnya🙏",1,1
[30/12/19 11.42.01],dosen,"Waalaikumsalam wr wb. Baik [MHS], nanti saya proses ya. Mohon maaf saya lupa berarti.",1,1
[30/12/19 11.42.07],dosen,Terima kasih sudah diingatkan,1,1
[30/12/19 11.43.25],mahasiswa,Terima kasih Bu. Maaf mengganggu waktunya🙏,1,1
[30/12/19 14.01.39],dosen,Perhatian! Jumlah logbook  yang sudah di verifikasi adalah 9. Penilaian kemajuan 2 (P2) HANYA bisa dilakukan setelah mahasiswa melakukan pengisian logbook dan di verifikasi oleh pembimbing. Jumlah minimum logbook untuk masing-masing pembimbing adalah 6 (enam).,1,1
[30/12/19 14.01.46],dosen, ini log booknya masih kurang,1,1
[30/12/19 14.01.52],dosen,saya belum bisa input P2,1,1
[30/12/19 14.01.59],dosen,coba dicek jumlah log booknya ya,1,1
[30/12/19 14.05.01],mahasiswa,Baik bu. Untuk logbook Bu  sudah memenuhi. Untuk logbook Pak [DOSEN] saya hubungi terlebih dahulu Bu karena masih kurang. Terima kasih Bu🙏,1,1
[30/12/19 14.07.36],dosen,"Sama-sama , nanti saya dikabari lagi ya.",1,1
[30/12/19 14.09.37],mahasiswa,"Baik bu. Terima kasih, maaf mengganggu waktunya Bu🙏",1,1
[30/12/19 14.27.08],dosen,Sama-saama ,1,1
[30/12/19 14.27.10],dosen,no worries,1,1
[30/12/19 15.09.36],mahasiswa,"Maaf Bu, saya mau ngabarin kalau logbook saya sudah memenuhi dan sudah diapprove oleh Pak [DOSEN].",1,1
[30/12/19 16.29.57],dosen,Baik ,1,1
[30/12/19 17.24.09],mahasiswa,Terima kasih Bu🙏,1,1
[23/03/20 08.57.00],mahasiswa,Assalamualaikum Wr.Wb Bu . Saya mau bertanya mengenai bimbingan skripsi bagaimana ya Bu? Dan saya jg mau melaporkan progress skripsi saya sudah sampai pengujian. Terima kasih Bu. Maaf mengganggu waktunya🙏,1,-1
[23/03/20 09.22.27],dosen,Waalaikumsalam wr wb,1,1
[23/03/20 09.23.24],dosen,"Baik . Via online saja ya. Di samping saya masih cuti, kondisi di kampus juga sedang tidak kondusif terkait dengan pandemic covid-19",1,1
[23/03/20 09.23.48],dosen, update progress via WA ya,1,1
[23/03/20 09.24.01],dosen,discreenshoot dan kita diskusikan bersama.,1,1
[23/03/20 09.24.24],dosen,Jika misalnya ada kesulitan nanti bisa via online..,1,1
[23/03/20 09.26.46],mahasiswa,oiya baik bu. ini saya screenshot kan hasil programnya ya bu berarti?,1,1
[23/03/20 09.31.06],dosen,iya ,1,1
[23/03/20 09.45.15],mahasiswa,itu untuk data latih dan data uji ada 20 bu,1,1
[23/03/20 09.45.38],dosen,data latih 20? data uji 20?,1,1
[23/03/20 09.45.52],dosen,berapa kelas yang negatif dan berapa yang positif ?,1,1
[23/03/20 09.45.57],mahasiswa,iyaa benar bu,1,1
[23/03/20 09.46.05],mahasiswa,10 positif 10 negatif bu,1,1
[23/03/20 09.47.17],dosen,ini untuk perhitungan manual ya ?,1,1
[23/03/20 09.47.39],dosen,buat data latihnya lebih banyak dari data ujinya,1,1
[23/03/20 09.48.01],mahasiswa,kalau perhitungan manual saya pakai hanya 4 data latih dan 1 data uji bu,1,1
[23/03/20 09.48.36],dosen,"bisa memakai perbandingan 10:90 --- 10 data uji 90 data latih, 20:80, 30:70 dst",1,1
[23/03/20 09.49.13],dosen,oke jadi itu masih bisa ditambah lagi ya datanya . Kalau bisa ratusan,1,1
