timestamp,sender,messages,sentiment_per_chat,sentiment_per_sesi
15/6/20,mahasiswa,"Assalamualaikum Pak [DOSEN], mohon maaf mengganggu waktunya, nama saya [MHS] dari angkatan 2017. Ingin bertanya untuk ketersediaan bapak menjadi pembimbing skripsi 1 saya. Sebelumnya, saya sudah memiliki topik sentimen analisis mengenai produk layanan Indihome dengan metode k-nearest neighbor dan information gain. Apakah topik saya dapat diangkat untuk penelitian skripsi pak? Terima kasih bapak atas waktunya",1,-1
15/6/20,dosen,"Wa'alaikumsalam Wr. Wb. Baik, saya bersedia. In Syaa Allah topik tersbt layak, nanti posisinya bisa dimap lebih dalam pada kajian pustaka. ",1,-1
15/6/20,mahasiswa,"Baik bapak, terimakasih. Mohon maaf sebelumnya pak, saya ingin bertanya bagaimana untuk mekanisme bimbingan secara daring kepada bapak? ",1,-1
16/6/20,dosen,"Baik [MHS],  Silahkan dikirimkan dokumen bimbingan minimal per 1-2 mingguan utk pra Proposal/P0/P1/P2 sampai *Semhas/*Sidang.. Tlg cantumkan secara detail di dalam content email: + lampirkan draft file dok skripsi dlm .doc/.docx + ppt P0/P1/P2/Semhas/Sidang (jika mau P0/P1/P2/Semhas/Sidang), contoh ppt sdh ada di link grup kelas, tinggal diganti isinya atau dgn template lain + beberapa screenshoot hasil running program (jika sdh ada) + deskripsi point"" revisi sebelumnya (jika sdh ada)  + deskripsi point"" progress yg baru selesai dikerjakan (jika sdh ada) + hal"" yg ditanyakan (jika ada) + dll  *)utk Semhas/Sidang ditetapkan semuanya dilakukan online/daring dengan google Meet/Zoom/ lainnya.  Kirimkan ke [DOSEN]cs@ub.ac.id  #cegah Covid-19 > Ikhtiyar yg optimal (seperti physical & social distance (sebaiknya hindari/meminimalkan dulu berkumpul dgn mhs/org lain dan hindari kerja kelompok), stay at home/kos (batasi keluar, kecuali jika memang sangat penting dan urgent dgn pakai masker dan lainnya), jgn mudik dulu, gerakan hidup sehat dan bersih, dll) ==> lahir > Do'a dan Tawakal ==> batin  Semoga sukses untuk skripsi dan semuanya dan semoga kita semua terhindar dari bahaya/penyakit/wabah apapun. Aamiin.   Mohon maaf jika ada salah dan khilaf, Tetap selalu jaga Sikap Sopan, Santun dan Menyejukkan. Terimakasih.  [DOSEN] ",1,1
16/6/20,mahasiswa,"Baik bapak, terimakasih banyak informasinya ",1,1
17/6/20,mahasiswa,"Assalamualaikum wr wb Pak [DOSEN], mohon maaf mengganggu waktunya. Saya [MHS] dari angkatan 2017 sudah mengirim praprosal skripsi melalui email pak. Terimakasih bapak atas waktunya ",1,-1
18/6/20,dosen,"Wa'alaikumsalam wr wb. Baik [MHS], In Syaa Allah segera saya review. ",1,1
18/6/20,mahasiswa,"Baik bapak, terima kasih banyak  ",1,1
22/6/20,mahasiswa,"Assalamualaikum wr wb, mohon maaf mengganggu waktunya Pak [DOSEN]. Saya [MHS], ingin bertanya untuk praproposal yang saya kirim melalui email apakah disetujui pak? Dikarenakan saya melihat kuota untuk menjadikan bapak pembimbing 1 tersisa sedikit. Terima kasih bapak sebelumnya  ",1,1
22/6/20,dosen,"Wa'alaikumsalam Wr. Wb. Silahkan diupload dulu ke Filkom dulu [MHS], tidak apa"". Berikut hasil review adri saya ",1,1
22/6/20,dosen,<DOC>,1,1
22/6/20,mahasiswa,"Baik bapak, terimakasih banyak ",1,1
22/6/20,mahasiswa,"Assalamualaikum wr wb Pak [DOSEN], mohon maaf mengganggu waktunya. Ingin mengabarkan untuk praproposal skripsi saya sudah di submit pada Filkom apps pak. Terima kasih bapak atas waktunya  ",1,1
22/6/20,dosen,"Wa'alaikumsalam Wr. Wb. Baik [MHS], ",1,1
22/6/20,dosen,<DOC>,1,1
22/6/20,dosen,<DOC>,1,1
22/6/20,dosen,Sdh saya approve.,1,1
22/6/20,mahasiswa,"Baik bapak, terima kasih banyak ",1,1
24/6/20,mahasiswa,"Assalamualaikum wr wb Pak [DOSEN], mohon maaf mengganggu waktunya. Ingin mengabarkan kalau saya sudah mengirim proposal melalui e-mail pak. Terimakasih bapak atas waktunya ",1,1
24/6/20,dosen,"Wa'alaikumsalam Wr. Wb. Baik [MHS], Tunggu review dari saya. ",1,1
24/6/20,mahasiswa,"Baik bapak, terima kasih banyak  ",1,1
30/6/20,mahasiswa,"Assalamualaikum Pak [DOSEN], mohon maaf mengganggu waktunya. Ingin bertanya beberapa perihal berikut ini 1. Saya dari angkatan 2017 yang akan mengambil skripsi smt 7 sehingga masih belum bisa mengajukan proposal di filkom apps, untuk itu apakah tidak apa-apa jika saya mensubmit proposal saya nanti pak? Karna di email yang diberikan oleh bapak, setelah direvisi melakukan submit proposal pada filkom apps 2. Apabila timeline skripsi sudah baru, apakah saya perlu re-upload praproposal pada filkom apps pak? 3. Untuk melakukan p0 melalui email itu berupa power point saja atau dengan vidio saya sedang presentasi ya pak? 4. Jika saya melakukan p0 sebelum timeline baru/krs skripsi apakah tidak apa-apa? Terimakasih banyak bapak sebelumnya ",1,1
30/6/20,dosen,"Wa'alaikumsalam wr. wb.  Baik [MHS], 1. Ralat: submit proposalnya sesuai tgl yg diset oleh akademik (tlg selalu dipantau di FilkomApp) 2. Benar 3. Buat PPT dulu nanti saya review, jika sdh saya nyatakan fix, silahkam buat video presentasi P0 utk dikirim ke dosbing 1 dan 2 4. Bisa, ini semacam fast track, tetapi juga nanti tgl pengisian log nya ttp mengikuti tgl yg diset oleh akademik, paling tdk ambil tgl awalnya. ",1,1
30/6/20,mahasiswa,"Baik bapak, terimakasih banyak informasinya ",1,1
7/7/20,mahasiswa,"Assalamualaikum wr wb Pak [DOSEN], mohon maaf mengganggu waktunya. Ingin mengabarkan kalau saya melakukan bimbingan dan mengirim ppt p0 melalui e-mail pak. Terimakasih bapak atas waktunya ",1,1
7/7/20,dosen,"Wa'alaikumsalam Wr. Wb. Baik [MHS], In Syaa Allah segera saya review. ",1,1
7/7/20,mahasiswa,"Baik, terimakasih banyak Bapak ",1,
