timestamp,sender,messages,sentiment_per_chat,sentiment_per_sesi
28/9/10,mahasiswa,"Assalamualaikum Wr. Wb. Selamat siang Pak [DOSEN], mohon maaf mengganggu waktunya. Perkenalkan nama saya [MHS] (TIF’17). Saya salah satu mahasiswa bimbingan skripsi bapak. Saya ingin bertanya terkait pelaksanaan p0 skripsi saya. Saya sudah melaksanakan p0 dengan dosen 1 saya yakni Pak [DOSEN] melalui vidio e-mail. Berkaitan dengan hal tersebut dan Bapak sebagai dosen pembimbing 2 saya, bagaimana ya Pak untuk mekanisme bimbingan dan P0 secara daring kepada Bapak? Terima kasih Bapak atas waktunya. Wassalamualaikum Wr. Wb",1,-1
28/9/20,dosen,"Waalaikumsalam, ya mbak ",-1,-1
28/9/20,mahasiswa,"Maaf Bapak, untuk vidio P0 dan melakukan bimbingan kepada Bapak dikirim melalui apa ya Pak? ",1,-1
29/9/20,mahasiswa,"Assalamualaikum Wr Wb, mohon maaf mengganggu waktunya Pak [DOSEN]. Saya [MHS] ingin bertanya untuk pengiriman vidio P0 dan melakukan bimbingan kepada Bapak melalui media apa ya Pak? Terima kasih banyak Bapak atas waktunya. Wassalamualaikum Wr. Wb. ",1,-1
2/10/20,mahasiswa,<DOC>,1,1
2/10/20,mahasiswa,"Assalamualaikum Wr Wb, mohon maaf mengganggu waktunya Pak [DOSEN]. Saya [MHS] dari angkatan 2017 ingin melakukan bimbingan skripsi. Berikut saya lampirkan proposal skripsi saya. Terima kasih banyak atas waktunya. Wassalamualaikum Wr. Wb. ",1,1
2/10/20,dosen,"Ya mbak, sy bacanya dulu ",1,1
2/10/20,mahasiswa,Baik Bapak,1,1
5/10/20,mahasiswa,"Assalamualaikum Wr Wb, mohon maaf mengganggu waktunya Pak [DOSEN]. Izin bertanya untuk proposal skripsi saya bagaimana ya pak? Terima kasih banyak Bapak atas waktunya. Wassalamualaikum Wr Wb ",1,-1
7/10/20,mahasiswa,"Assalamualaikum Wr Wb, sebelumnya mohon maaf mengganggu waktunya Pak [DOSEN]. Terkait dokumen proposal skripsi yang saya kirimkan hari jumat, apakah ada masukan, Pak? Dan saya telah mengisi logbook bimbingan di filkom apps, sekiranya apakah Bapak bersedia untuk validasi? Terima kasih banyak Bapak ",1,-1
8/10/20,mahasiswa,"Assalamualaikum Wr Wb, sebelumnya mohon maaf mengganggu waktunya Pak [DOSEN]. Terkait dokumen proposal skripsi yang saya kirimkan hari jumat minggu lalu, apakah ada masukan Pak? Terima kasih banyak Bapak atas waktunya ",1,1
8/10/20,dosen,mulai bimbingan rencana Senin dpn jam 13.00,-1,1
8/10/20,mahasiswa,"Baik Bapak, terima kasih banyak informasinya ",1,1
12/10/20,mahasiswa,"Assalamualaikum Wr Wb, selamat siang Pak [DOSEN]. Terkait dokumen proposal skripsi saya apakah ada saran dan masukan Pak? Terima kasih banyak Bapak atas waktunya ",1,-1
12/10/20,dosen,Waalaikumsalam,1,-1
12/10/20,dosen,"bgmn mbak Atika, skrg di rumah atau di malang ? ",-1,-1
12/10/20,mahasiswa,Saya di rumah Bandung Pak,1,-1
12/10/20,dosen,Bandung mana ?,1,-1
12/10/20,mahasiswa,"Daerah Cikutra, Kota Bandung Pak ",1,-1
12/10/20,dosen,orang tua asli Bandung mbak ?,1,-1
12/10/20,mahasiswa,"Tidak pak, orang tua saya asli Semarang pak ",1,-1
12/10/20,mahasiswa,"Maaf Bapak, untuk proposal skripsi saya apakah boleh saya lampirkan ulang Pak? ",1,-1
12/10/20,dosen,Sy ingin tahu pustakanya yg terindek scopus ada berapa ?,-1,-1
12/10/20,mahasiswa,Pada proposal daftar pustaka yang terindeks scopus ada 7 Pak,1,-1
12/10/20,dosen,"ditulis disini mbak, yg terindek scopus ",1,-1
12/10/20,mahasiswa,"Untuk yang terideks scopus ada 6 pak berikut judul-judulnya 1. Internet Traffic Detection using Naïve Bayes and K-Nearest Neighbors (KNN) algorithm 2.  Distributed Denial of Service Attack Detection using Naïve Bayes and K-Nearest Neighbor for Network Forensics 3.  An Ensemble-Based Feature Selection and Classification of Gene Expression using Support Vector Machine, K-Nearest Neighbor, Decision Tree  4. Comparison between K-Nearest Neighbor and Support Vector Machine Algorithms for PPG Biometric Identification 5. Sentiment analysis on Twitter posts: An analysis of positive or negative opinion on GoJek 6. Network intrusion detection using feature selection and Decision tree classifier ",1,-1
13/10/20,mahasiswa,"Assalamualaikum Wr Wb, selamat siang Pak [DOSEN]. Ingin bertanya apakah Bapak ada waktu untuk melakukan bimbingan Pak? Terima kasih banyak atas waktunya Pak [DOSEN] ",1,1
13/10/20,dosen,"Untuk jadwal bimbingan sy alokasikan Senin jam 13.00, dan  Rabu jam 10.00 ",1,1
13/10/20,mahasiswa,Baik Bapak terima kasih banyak atas informasinya,1,1
14/10/20,mahasiswa,<DOC>,1,-1
14/10/20,mahasiswa,"Assalamualaikum Wr Wb, selamat pagi Pak [DOSEN]. Ingin bertanya terkait dokumen proposal skripsi saya apakah ada saran dan masukan Pak?dokumen proposal skripsi berikut saya lampirkan, dan ingin bertanya untuk mekanisme P0 daring kepada Bapak bagaimana ya Pak? Dikarenakan saya sudah melaksanakan P0 dengan dosen 1 saya yakni Pak [DOSEN] melalui vidio e-mail. Terima kasih banyak Bapak. ",1,-1
14/10/20,dosen,"Waalaikumsalam, untuk pustakanya, apa ada yg terindeks scopus ? ",1,-1
14/10/20,mahasiswa,"Untuk yang terideks scopus ada 6 pak berikut judul-judulnya 1. Internet Traffic Detection using Naïve Bayes and K-Nearest Neighbors (KNN) algorithm 2.  Distributed Denial of Service Attack Detection using Naïve Bayes and K-Nearest Neighbor for Network Forensics 3.  An Ensemble-Based Feature Selection and Classification of Gene Expression using Support Vector Machine, K-Nearest Neighbor, Decision Tree  4. Comparison between K-Nearest Neighbor and Support Vector Machine Algorithms for PPG Biometric Identification 5. Sentiment analysis on Twitter posts: An analysis of positive or negative opinion on GoJek 6. Network intrusion detection using feature selection and Decision tree classifier ",1,-1
19/10/20,mahasiswa,"Assalamualaikum Wr Wb, selamat siang Pak [DOSEN]. Saya [MHS] dari TIF 17. Pada Filkom apps untuk verifikasi proposal dan logbook bimbingan menunggu dari persetujuan Bapak, sekiranya apakah Bapak bersedia untuk validasi? Terima kasih banyak Bapak ",1,1
19/10/20,dosen,<DOC>,1,1
19/10/20,mahasiswa,Baik Bapak terima kasih banyak,1,1
21/10/20,mahasiswa,<DOC>,1,-1
21/10/20,mahasiswa,"Assalamualaikum Wr Wb, selamat siang Pak [DOSEN]. Saya ingin melakukan bimbingan skripsi BAB 4, berikut dokumen skripsi saya lampirkan. Terima kasih banyak atas waktunya Pak [DOSEN] ",1,-1
23/10/20,dosen,"ya mbak, sy bacanya dulu ",1,1
23/10/20,mahasiswa,Baik Bapak,1,1
26/10/20,mahasiswa,"Assalamualaikum Wr Wb, selamat siang Pak [DOSEN]. Untuk dokumen skripsi BAB 4 yang saya kirimkan hari rabu minggu lalu apakah ada masukan pak? Terima kasih banyak atas waktunya Bapak ",1,-1
2/11/20,mahasiswa,"Assalamualaikum Wr Wb, selamat siang Pak [DOSEN]. Ingin melakukan bimbingan BAB 4, apakah ada masukan untuk skripsi saya Pak? Berikut dokumen saya lampirkan. Terima kasih banyak atas waktunya Bapak ",1,-1
2/11/20,mahasiswa,<DOC>,1,-1
4/11/20,mahasiswa,"Assalamualaikum Wr Wb, selamat siang Pak [DOSEN]. Ingin bertanya apakah Bapak ada waktu untuk melakukan bimbingan Pak? Terima kasih banyak atas waktunya Pak [DOSEN] ",1,-1
9/11/20,mahasiswa,"Assalamualaikum Wr Wb, selamat siang Pak [DOSEN]. Untuk dokumen skripsi BAB 4 yang saya kirimkan hari senin minggu lalu apakah ada masukan pak? Terima kasih banyak atas waktunya Bapak ",1,-1
16/11/20,dosen,Ya mbak,-1,-1
18/11/20,mahasiswa,"Assalamualaikum wr wb Bapak [DOSEN], mohon maaf mengganggu waktunya. Saya [MHS] dengan NIM 175150207111002. Ingin melakukan bimbingan untuk presentasi P1 dari saya berjudul "" Sentimen Analisis Layanan Produk Indihome Menggunakan Information Gain dan Metode K-Nearest Neighbor"".  Berikut presentasi drive vidio P1 saya lampirkan https://bit.ly/videop1  Terima kasih banyak bapak atas waktunya. Wassalamualaikum Wr Wb ",1,-1
10/12/20,dosen,"Waalaikumsalam, ya mbak ",1,1
17/12/20,mahasiswa,"Assalamualaikum Wr Wb, selamat siang Pak [DOSEN]. Saya [MHS] dari TIF 17. Pada Filkom apps untuk verifikasi P2 menunggu dari persetujuan Bapak, sekiranya apakah Bapak bersedia untuk validasi? Terima kasih banyak Bapak ",1,-1
18/12/20,mahasiswa,"Assalamualaikum Wr Wb, selamat siang Pak [DOSEN]. Saya [MHS] dari TIF 17. Pada Filkom apps untuk verifikasi P2 menunggu dari persetujuan Bapak selaku dosen pebimbing 2, sekiranya apakah Bapak bersedia untuk validasi? Dikarenakan deadline untuk P2 adalah tanggal 18 Desember. Terima kasih banyak Bapak ",1,1
18/12/20,dosen,"Ya mbak, sdh ",1,1
18/12/20,mahasiswa,Baik terima kasih banyak Pak [DOSEN],1,1
14/1/21,mahasiswa,Assalamualaikum Wr Wb Pak [DOSEN]. Saya [MHS] dari TIF 17. Ingin meminta verifikasi  evaluasi pada filkom apps. Terina kasih banyak Bapak,1,-1
15/1/21,mahasiswa,"Assalamualaikum Wr Wb, selamat siang Pak [DOSEN]. Saya [MHS] dari TIF 17. Pada filkom apps untuk verifikasi hasil evaluasi menunggu dari persetujuan Bapak selaku dosen pembimbing 2, sekiranya apakah Bapak bersedia untuk validasi? Dikarenakan deadline untuk evaluasi adalah tanggal 15 Januari. Terima kasih banyak Bapak ",1,-1
15/1/21,dosen,Wass. Ada perkembangan apa skripsinya ?,-1,-1
15/1/21,mahasiswa,<DOC>,1,-1
15/1/21,mahasiswa,"Berikut bapak dokumennya, namun untuk lampiran belum saya masukan dikarenakan masih mencoba untuk menambahkan akurasi dan merubah-rubah data Pak ",1,-1
