timestamp,sender,messages,sentiment_per_chat,sentiment_per_sesi
[18/11/19 13.27.48],mahasiswa,"Assalamualaikum Wr.Wb, pak. Saya  mahasiswi Informatika 16 mau berkonsultasi terkait penulisan skripsi saya. Kira-kira kapan saya dapat menemui Bapak? Terima kasih pak. Maaf mengganggu sebelumnya🙏",1,1
[18/11/19 14.40.16],dosen,InsyaAllah besok siang setelah sholat Dzuhur ya.,1,1
[18/11/19 14.40.50],mahasiswa,"Baik pak, terima kasih🙏",1,1
[19/11/19 08.02.47],dosen,Nanti InsyaAllah ditunda sekitar jam 13 ya.,1,1
[19/11/19 09.57.42],mahasiswa,"Baik pak, terima kasih🙏",1,1
[22/11/19 08.06.52],mahasiswa,"Assalamualaikum Wr.Wb, Pak. Perihal dokumen skripsi yang beberapa hari lalu saya berikan kepada Bapak, kira-kira kapan dan dimana saya bisa menemui Bapak untuk konsultasi skripsi saya? Terima kasih pak. Maaf mengganggu sebelumnya🙏",1,1
[22/11/19 09.20.36],dosen,InsyaAllah siang nanti sekitar jam 13:30.,1,1
[22/11/19 09.21.39],mahasiswa,Baik pak. Terima kasih.,1,1
[09/12/19 14.21.59],mahasiswa,"Assalamualaikum Wr.Wb, Pak. Saya mau berkonsultasi terkait revisi penulisan skripsi saya beberapa minggu lalu. Kira-kira kapan saya dapat menemui Bapak ya? Terima kasih pak. Maaf mengganggu sebelumnya🙏",1,1
[09/12/19 14.23.33],dosen,Besok sekitar jam 13 ya.,1,1
[09/12/19 14.23.59],mahasiswa,Baik pak. Terima kasih.,1,1
[13/12/19 08.21.58],mahasiswa,"Assalamualaikum Wr.Wb, Pak. Perihal dokumen skripsi yang beberapa hari lalu saya berikan kepada Bapak, kira-kira kapan dan dimana saya bisa menemui Bapak untuk konsultasi skripsi saya? Terima kasih pak. Maaf mengganggu sebelumnya🙏",1,1
[13/12/19 09.31.47],dosen,InsyaAllah Senin siang saja ya sekitar jam 13.,1,1
[13/12/19 09.32.56],mahasiswa,"Baik pak, terima kasih🙏",1,1
[23/12/19 13.57.46],mahasiswa,"Assalamualaikum Wr.Wb, Pak. Saya mau berkonsultasi perihal dokumentasi skripsi saya. Kira-kira kapan saya dapat menemui Bapak? Terima kasih pak. Maaf mengganggu sebelumnya🙏",1,1
[23/12/19 14.06.21],dosen,Hari Kamis atau Jumat saja?,1,1
[23/12/19 14.07.21],mahasiswa,Kalau Jumat jam berapa ya pak kira-kira?,1,1
[26/12/19 13.26.09],mahasiswa,"Mohon maaf pak, untuk hari ini apakah Bapak ada bimbingan?",1,-1
[30/12/19 08.49.08],mahasiswa,"Assalamualaikum Wr.Wb, Pak. Saya mau berkonsultasi terkait skripsi saya mengenai P2, yang hari ini merupakan batas akhir untuk melakukan P2. Apakah hari ini Bapak dapat ditemui? Terima kasih Pak. Maaf menggangu sebelumnya🙏",1,-1
[30/12/19 08.50.46],dosen,Apakah dengan pembimbing 1 sdh P2?,1,-1
[30/12/19 08.52.43],dosen,"Saya hari ini kemungkinan blm bisa ke kampus, krn banyak tamu. Klo bisa ketemu saya besok siang sekitar jam 13.",1,-1
[30/12/19 08.55.17],mahasiswa,Dengan pembimbing 1 sudah P2 minggu lalu Pak.,1,-1
[30/12/19 08.55.32],mahasiswa,Baik pak. Terima kasih🙏,1,-1
[30/12/19 14.09.09],mahasiswa,"Assalamualaikum Wr.Wb, Pak. Mohon maaf Pak, untuk P2 logbook dari pembimbing 1 sudah memenuhi. Namun, logbook dari Bapak masih belum memenuhi, sehingga belum bisa proses P2 pda filkom apps. Bagaimana ya Pak? Karena mengingat hari ini batas akhir P2. Terima kasih Pak. Maaf mengganggu sebelumnya🙏",1,-1
[30/12/19 14.55.25],dosen,Diisi saja nanti saya approve untuk hari ini.,1,-1
[30/12/19 15.05.35],mahasiswa,Baik Pak. Terima kasih🙏,1,-1
[30/03/20 09.53.46],mahasiswa,"Assalamualaikum Wr.Wb Pak. Selamat pagi dan mohon maaf mengganggu. Saya mau menanyakan mengenai bimbingan online terkait dokumentasi skripsi saya, Pak. Bagaimana mekanismenya ya kira-kira? Terima kasih Pak🙏",1,-1
[08/04/20 09.57.41],mahasiswa,"Assalamualaikum Wr.Wb Pak. Selamat pagi dan mohon maaf mengganggu waktunya. Berkaitan dengan skripsi yang saya ambil, saya ingin berkonsultasi kepada Bapak mengenai penulisan dokumen skripsi saya. Berikut saya lampirkan dokumen skripsi saya. Terima kasih Pak🙏 ",1,-1
[08/04/20 09.57.48],mahasiswa,<document omitted>,1,-1
[09/04/20 11.09.36],mahasiswa,"Assalamualaikum Wr.Wb. Pak. Selamat siang dan mohon maaf menggangu waktu Bapak. Terkait dengan skripsi yang saya ambil, saya ingin berkonsultasi dengan Bapak mengenai penulisan dokumen skripsi saya. Kira-kira kapan saya dapat berkonsultasi dengan Bapak? Terima kasih Pak🙏",1,1
[09/04/20 11.21.28],dosen,InsyaAllah besok saja ya.,1,1
[09/04/20 11.22.28],mahasiswa,Baik Pak. Terima kasih🙏,1,1
[09/04/20 11.23.04],mahasiswa,"Kalau boleh tahu, konsultasi via apa ya Pak?",1,1
[09/04/20 11.30.44],dosen,"Besok saja ditentukan, nanti saya lihat dokumen skripsinya dulu. Besok siang/sore setelah sholat ashar ya.",1,1
[09/04/20 11.31.29],mahasiswa,Baik Pak kalau begitu. Terima kasih🙏,1,1
[10/04/20 07.04.53],dosen,"Maaf, ternyata hari ini hari libur. Bgmn klo konsultasinya ditunda hari Senin saja sekitar jam 12:30 ya. Tksh.",1,1
[10/04/20 09.18.38],mahasiswa,Baik Pak kalau begitu. Terima kasih🙏,1,1
[13/04/20 12.30.34],mahasiswa,"Assalamualaikum Wr.Wb. Pak. Selamat siang dan mohon maaf mengganggu waktu Bapak. Terkait bimbingan online hari ini mengenai dokumen skripsi saya, bagaimana Pak? Terima kasih🙏",1,1
[13/04/20 12.33.10],dosen,"To join the video meeting, click this link: https://meet.google.com/voc-rubj-bdp. Otherwise, to join by phone, dial +1 401-646-0765 and enter this PIN: 375 725 727#",1,1
