timestamp,sender,messages,sentiment_per_chat,sentiment_per_sesi
25/6/20,mahasiswa,"Selamat siang Pak [DOSEN]. Mohon maaf mengganggu waktunya, nama saya [MHS] dari Prodi Teknik Informatika 2017.

Saya ingin bertanya tentang ketersediaan Bapak untuk menjadi dosen pembimbing skripsi 1 saya. Topik yang ingin saya angkat adalah ""Sistem Temu Kembali Informasi Artikel terkait COVID-19 dengan Metode Pembobotan TF-IDF dan Model Vector Space"". Apakah sekiranya topik saya dapat diangkat untuk penelitian skripsi? Dan apakah Bapak bersedia untuk menjadi pembimbing skripsi saya?

Terima kasih atas perhatian dan waktunya.",1,1
25/6/20,dosen,"Baik [MHS], saya bersedia.  Terkait judul, tolong mencari dulu -+ 2 - 3 paper Internasiona terkait ""word embedding"" lalu review secara singkat untuk ditambahkan pada daftar referensi dan dimunculkan pada judul Anda. ",1,1
25/6/20,mahasiswa,Baik pak. Akan saya cari dan tambahkan. Terima kasih atas perhatiannya.,1,1
13/8/20,mahasiswa,"Selamat siang Pak [DOSEN]. Mohon mqqf menggangu waktunya. Saya [MHS] dari TIF 2017 yang waktu itu meminta untuk menjadi mahasiswa bimbingan skripsi bapak.  Topik yang saya ambil waktu itu ""Sistem Temu Kembali Informasi Artikel terkait COVID-19 dengan Metode Pembobotan TF-IDF dan Model Vector Space"". Setelah mengikuti saran bapak, saya sudah mencari beberapa jurnal yang membahas tentang vector space dengan word embedding. Apakah untuk penggunaan Word Embeddingnya pada metode penelitian secara keseluruhan atau akan dijadikan pembading hasil antara menggunakan word embedding atau tidak ya pak?  Terima kasih atas perhatian dan waktunya. ",1,-1
14/8/20,dosen,"Baik [MHS], saran saya Word Embeddingnya digunakan keseluruhan dan pada pengujian akhir nanti ada perbandingan dgn vs tanpa Word Embedding ",1,1
14/8/20,mahasiswa,"Baik pak, terima kasih. Selanjutnya, untuk pra proposalnya juga sudah selesai saya susun, dikumpulkan langsung ke Filkom Apps atau melalui WA terlebih dahulu ya pak? ",1,1
14/8/20,dosen,"Baik [MHS], silahkan diupload langsung ke Filkom App. *Mohon nanti implementasinya buat dengan ""Add-Ins"" dengan Node.js atau Visual Studio 2019 pada MS-Word, lihata dari docs.microsoft.com/en-us/office/dev/add-ins/quickstarts/word-quickstart?tabs=yeomangenerator ",1,1
14/8/20,dosen,*lihat,1,1
14/8/20,mahasiswa,Baik pak. Terima kasih atas sarannya.,1,1
24/8/20,mahasiswa,"Selamat siang Pak [DOSEN]. Mohon mqqf menggangu waktunya. Saya [MHS] dari TIF 2017 yang waktu itu meminta untuk menjadi mahasiswa bimbingan skripsi bapak.  Sesuai dengan prosedur yang ada, saya sudah upload pra proposal ke Filkom Apps.  Terima kasih atas perhatian dan waktunya. ",1,-1
25/8/20,dosen,"Baik [MHS], sudah saya approve.  Tolong dilanjutkan ke bab 1 sampai bab 3, lalu kirimkan ke email saya di email@ub.ac.id  Berikut contoh template file skripsi mulai dari P0 sampai sidang dari kelas Induksi Riset saya bit.ly/2kFJeuC ",1,1
25/8/20,mahasiswa,"Baik pak. Terima kasih, akan saya lanjutkan. Saya juga ingin menanyakan beberapa hal.  Terkait kelas induksi riset, apakah bapak ingin membuka kelas induksi riset semester ini?  Dan juga untuk perihal Add-ins, saya sudah mencari tahu sedikit. Untuk pemakaiannya apakah boleh Add-ins nya sebagai front-end saja? Jadi, setelah input query di Add-ins akan di pass melalui API untuk diproses di tempat lain. Karena berdasarkan hal yang saya cari, proses yang diberikan dari Ms. Word ada batasannya. Dan juga andaikan semua proses retrieval diletakkan pada Add-ins bisa jadi Ms, Word nya not responding. ",1,1
25/8/20,dosen,"Baik [MHS], untuk kelas Induksi Riset sedang saya pertimbangkan.  Baik, silahkn Add-Ins digunakan utk front-end saja. Atau dengan skenario, yg diproses hanya halaman yg WYSWYG oleh user (hanya halaman yg nampak oleh user). ",1,1
25/8/20,mahasiswa,Baik pak akan saya pelajari terlebih dahulu. Terima kasih atas perhatiannya.,1,1
16/9/20,mahasiswa,"Selamat sore Pak [DOSEN]. Mohon maaf menggangu waktunya. Saya [MHS] dari TIF 2017 salah satu mahasiswa bimbingan skripsi bapak.  Sesuai dengan yabg sudah diminta, saya sudah menyusun bab 1 sampai bab 3 dan baru saja saya kirim ke email bapak.  Terima kasih atas perhatian dan waktunya. ",1,1
16/9/20,dosen,"Baik [MHS], noted. Mohon ditunggu review dari saya. In Syaa Allah segera saya review. ",1,1
16/9/20,mahasiswa,Baik pak. Terima kasih.,1,1
23/9/20,mahasiswa,Selamat siang Pak [DOSEN]. Mohon maaf menggangu. Saya [MHS] salah satu mahasiswa bimbingan bapak.  Saya ingin memberi kabar bahwa saya sudah submit progres revisi saya dan beberapa pertanyaan ke email bapak.  Terima kasih ata perhatiannya.,1,1
23/9/20,dosen,"Baik [MHS], noted. Mohon ditunggu review dari saya. In Syaa Allah segera saya review. ",1,1
23/9/20,mahasiswa,Baik pak. Terima kasih.,1,1
