timestamp,sender,messages,sentiment_per_chat,sentiment_per_sesi
13/10/2020,mahasiswa,"Assalamualaikum wr.wb, Selamat Pagi pak [DOSEN]. Maaf mengganggu waktunya🙏🏻 Saya [MHS], dari Teknik Informatika 2017. Saya juga sebagai mahasiswa bimbingan skripsi Bapak untuk pembimbing kedua nya pak. Saya ingin bertanya untuk jadwal P0, apakah untuk P0 nya dilakukan bersama antara Dosen Pembimbing 1 dan 2, atau kah bisa terpisah setiap dosen pak? Lalu untuk waktu P0 nya kapan ya pak? Terima kasih pak, maaf mengganggu🙏🏻",1,1
13/10/2020,dosen,"Baik , utk P0/P1/P2 saya lebih prefer mandiri atau prive ke msg"" dosbing. utk P0 Cukup kirimkan ke email saya berikut; 1. dok. bab 1 - 3 2. PPT P0 3. Link share publik Video Presentasi P0 4. Isikan 1 logbook utk saya (tgl hari ini) ttg ""Konsultasi Persiapan P0"" Terimakasih.",1,1
13/10/2020,mahasiswa,Iya baik pak [DOSEN] akan saya isi logbook untuk konsultasi hari ini. Selanjutnya untuk P0 akan saya kirim melalui email. Terima kasih banyak Pak🙏🏻,1,1
20/10/2020,mahasiswa,"Assalamualaikum wr.wb, Selamat pagi Pak [DOSEN], mohon maaf menggangu waktunya. Saya [MHS] sebagai mahasiswa bimbingan Bapak untuk pembimbing 2 nya Pak. Saya ingin menyampaikan bahwa saya telah mengirimkan file presentasi P0 saya ke email Bapak. Terima kasih banyak Pak🙏🏻",1,1
20/10/2020,dosen,"Baik [MHS], noted. Tunggu review dari saya. 🙏🙏",1,1
20/10/2020,mahasiswa,"Baik Pak [DOSEN], terima kasih Pak🙏🏻",1,1
02/12/2020,mahasiswa,"Selamat pagi Pak , mohon maaf mengganggu waktunya. Saya (2017) sebagai salah satu mahasiswa bimbingan Bapak untuk pembimbing 2 nya Pak. Saya ingin bertanya mengenai kesediaan waktu Bapak untuk saya bisa melakukan presentasi P1 dan apakah prosedur presentasi P1 sama dengan presentasi P0 sebelumnya atau kah prosedur nya lain Pak? Terima kasih banyak Pak 🙏🏻",1,1
02/12/2020,dosen,"Baik [MHS], sambil menunggu review dari saya tolong lanjutkan membuat berikut utk Persiapan P1: + buat draft Dok. bab 1-4 atau sampai bab 5 + File Excel utk membuat manualisasi di file excel dengan menggunakan sebagian kecil data yg ada lalu pindahkan ke dok. skripsi, dan cicil koding yg hasil running-nya sama dgn hasil penghitungan manual + buat ppt P1 yang berisi bab 1 - 4. + Tolong lampiran beberapa screenshot hasil running kode program yang hasilnya sama dengan penghitungan manual Anda, di mana 1 screenshot-nya ada 2 bagian, bagian kiri hasil koding, bagian kanan hasil manualisasi di dokumen, tandai dengan shape tertentu pada nilai yg sama + PPT P1 (berisi bab 1-4) + Video Presentasi PPT P1 Dan pastikan sudah mengisikan log book minimal 3 utk masing"" dosbing, ambilkan dari tgl konsultasi di email/WA dengan uraian log book dari hal"" yg ditanyakan. 🙏",1,1
02/12/2020,mahasiswa,"Baik Pak [DOSEN], terimakasih. Akan saya persiapkan semua untuk P1 nya🙏🏻 Terkait screenshot hasil koding, apakah diperbolehkan jika masih tidak lengkap sampai pada tahap akhir? Dikarenakan kode program yang saya buat masih kurang 1 tahap terakhir yaitu proses klasifikasi naive bayes nya Pak.",1,1
02/12/2020,dosen,"Baik, saya ijinkan.",1,1
14/12/2020,mahasiswa,"Assalamualaikum wr.wb, Selamat siang Pak , mohon maaf menggangu waktunya. Saya  sebagai mahasiswa bimbingan Bapak untuk pembimbing 2 nya Pak. Saya ingin menyampaikan bahwa saya telah mengirimkan file presentasi P1 saya beserta file manualisasi, file ppt presentasi, file screenshoot koding dan file dokumen skripsi bab 1-4 ke email Bapak. Terima kasih banyak Pak🙏🏻",1,-1
14/12/2020,dosen,"Wa'alaikumsalam wr wb. Baik , tunggu review dari saya. 🙏",1,-1
14/12/2020,mahasiswa,"Baik Pak, maaf sebelumnya saya menambahkan logbook di filkomapps untuk tanggal 2 Desember sebagai ""persiapan konsultasi P1"" Pak, sesuai tanggal saat saya menghubungi Bapak mengenai syarat untuk P1, apakah diperbolehkan Pak?",1,-1
15/12/2020,dosen,"Baik [MHS], saya ijinkan. 🙏",1,-1
22/12/2020,mahasiswa,"Assalamualaikum wr.wb, Selamat siang Pak [DOSEN], mohon maaf menggangu waktunya. Saya [MHS] sebagai mahasiswa bimbingan Bapak untuk pembimbing 2 nya Pak. Saya ingin menyampaikan progress pengerjaan skripsi saya saat ini sampai pada proses masuk ke Bab 6. Saya mau bertanya terkait pelaksanaan P2 nya. Apakah masih sempat jika dilakukan dalam semester ini Pak? Atau kah saya harus melanjutkan untuk P2 ke semester depan ya Pak? Terima kasih Pak 🙏🏻",1,-1
23/12/2020,dosen,"Baik [MHS], tolong kirimkan progress bab 6 Anda, minimal 1 skenario pengujian + analisis hasil pengujian tersebut sudah selesai dikerjakan. Jika memang bisa selesai, bisa dilanjutkan ke semester depannya.",1,-1
29/12/2020,mahasiswa,"Assalamualaikum wr.wb, Selamat pagi Pak [DOSEN], mohon maaf menggangu waktunya. Saya telah mengirimkan progress dokumen skripsi saya hingga bab 6 untuk P2 ke email Bapak. Maaf sebelumnya baru saya kirimkan hari ini dikarenakan minggu kemaren terpotong hari libur🙏🏻. Terima kasih Pak .",1,1
29/12/2020,dosen,"Wa'alaikumsalam Wr. Wb. Baik, mohon ditunggu review dari saya.",1,1
29/12/2020,mahasiswa,"Baik, terima kasih Pak 🙏🏻",1,1
