,timestamp,sender,messages,sentiment_per_chat,sentiment_per_sesi,session_index,file_index,preprocessed
0,10/7/20,mahasiswa,"Assalamualaikum Wr. Wb. Selamat siang Pak [DOSEN] . Semoga Bapak dan keluarga dalam keadaan sehat selalu. Mohon maaf mengganggu waktu Bapak. Perkenalkan nama saya [MHS]  dari Program Studi Teknik Informatika angkatan 2017 yang saat ini berfokus pada keminatan Komputasi Cerdas. Sebelumnya mohon maaf Pak, izin menginformasikan bahwa semester ini saya sedang mengajukan proposal skripsi dengan judul “Analisis Sentimen Di Twitter Tentang New Normal Dengan Pembentukan Daftar Stopword Zipf Law dan Pembobotan Emoji”. Untuk dosen pembimbing 1 saya adalah Ibu dosen Arum Sari, S.Kom, M.Kom dan untuk dosen pembimbing 2 adalah Bapak  Santoso, S.Si., M.Kom. Saya mohon bimbingan dari Bapak sebagai dosen pembimbing 2. Mohon maaf jika terdapat salah kata Pak. Terima kasih Pak . Wassalamualaikum Wr. Wb.",1,-1,0,4,"['assalamualaikum', 'wr', 'wb', 'selamat', 'siang', 'dosen', 'moga', 'keluarga', 'sehat', 'mohon', 'maaf', 'ganggu', 'kenal', 'nama', 'mahasiswa', 'program', 'studi', 'teknik', 'informatika', 'angkat', '2017', 'fokus', 'minat', 'komputasi', 'cerdas', 'mohon', 'maaf', 'izin', 'informasi', 'semester', 'aju', 'proposal', 'skripsi', 'judul', 'analisis', 'sentimen', 'twitter', 'new', 'normal', 'bentuk', 'daftar', 'stopword', 'zipf', 'law', 'bobot', 'emoji', 'dosen', 'bimbing', '1', 'dosen', 'arum', 'sari', 'kom', 'kom', 'dosen', 'bimbing', '2', 'santoso', 'si', 'kom', 'mohon', 'bimbing', 'dosen', 'bimbing', '2', 'mohon', 'maaf', 'salah', 'terima', 'kasih', 'wassalamualaikum', 'wr', 'wb']"
1,10/7/20,dosen,Wa'alaikumsalam.. ok,1,-1,0,4,"['wa', 'alaikumsalam', 'oke']"
2,10/7/20,mahasiswa,"Baik Pak , Terima kasih Pak. Mohon maaf Pak, saya izin bertanya terkait ketersediaan jadwal Bapak untuk melakukan P0 dan untuk P0 nya diadakan bersama atau terpisah Pak?",1,-1,0,4,"['terima', 'kasih', 'mohon', 'maaf', 'izin', 'kait', 'sedia', 'jadwal', 'laku', 'p0', 'p0', 'nya', 'pisah']"
3,10/7/20,dosen,Terpisah gpp,1,-1,0,4,"['pisah', 'tidak apa-apa']"
4,10/7/20,mahasiswa,Baik Pak . Terima kasih Pak. Saya coba konfirmasikan kembali ke Bu [DOSEN] sebagai dosen pembimbing 1 saya. Kemudian berikut saya lampirkan proposal skripsi yang saya kerjakan sebelumnya Pak.,1,-1,0,4,"['terima', 'kasih', 'coba', 'konfirmasi', 'dosen', 'dosen', 'bimbing', '1', 'lampir', 'proposal', 'skripsi', 'kerja']"
5,10/7/20,mahasiswa,<DOC>,1,-1,0,4,['doc']
6,10/7/20,mahasiswa,Mungkin dari Bapak terdapat saran atau tambahan terkait proposal skripsi saya Pak. Terima kasih Pak .,-1,-1,0,4,"['saran', 'kait', 'proposal', 'skripsi', 'terima', 'kasih']"
7,10/12/20,mahasiswa,"Assalamualaikum Wr. Wb. Selamat siang Pak . Mohon maaf mengganggu waktu Bapak. Saya [MHS] salah satu bimbingan Bapak. Mohon maaf sebelumnya, Izin bertanya terkait proposal yang saya kirim kemarin Pak. Apakah terdapat revisi atau saran dari Bapak terkait proposal saya Pak? Kemudian izin bertanya juga terkait jadwal P0, kapan waktu Bapak bersedia untuk saya P0 Pak? Terima kasih Pak .",1,1,1,4,"['assalamualaikum', 'wr', 'wb', 'selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'mahasiswa', 'salah', 'bimbing', 'mohon', 'maaf', 'izin', 'kait', 'proposal', 'kirim', 'kemarin', 'revisi', 'saran', 'kait', 'proposal', 'izin', 'kait', 'jadwal', 'p0', 'sedia', 'p0', 'terima', 'kasih']"
8,10/12/20,dosen,Seluruh Gambar dan Tabel harus dirujuk di kalimat agar tidak sekedar tempel.,1,1,1,4,"['gambar', 'tabel', 'rujuk', 'kalimat', 'dar', 'tempel']"
9,10/12/20,dosen,Contoh Tabel 2.1. dst . Tahapan Tokenisasi dapat ditunjukkan pada Gambar 2.1. (bukan Table 2.1 --> ubah ke dalam bahasa indonesia). Gunakan cara yg sama untuk seluruh tabel,1,1,1,4,"['contoh', 'tabel', '2', '1', 'dan seterusnya', 'tahap', 'tokenisasi', 'gambar', '2', '1', 'table', '2', '1', '--', 'ubah', 'bahasa', 'indonesia', 'tabel']"
10,10/12/20,mahasiswa,Baik Pak. Saya perbaiki kembali proposal saya Pak. Terima kasih banyak Pak .,1,1,1,4,"['proposal', 'terima', 'kasih']"
11,10/13/20,mahasiswa,Assalamualaikum Wr. Wb. Selamat siang Pak . Mohon maaf mengganggu waktu Bapak. Saya [MHS] sebagai mahasiswa bimbingan skripsi Bapak. Maksud saya menghubungi Bapak hari ini untuk menyerahkan proposal sesuai dengan revisi atau saran yang telah Bapak berikan kemarin. Berikut saya lampirkan untuk proposalnya Pak.,1,1,2,4,"['assalamualaikum', 'wr', 'wb', 'selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'mahasiswa', 'mahasiswa', 'bimbing', 'skripsi', 'maksud', 'hubung', 'serah', 'proposal', 'sesuai', 'revisi', 'saran', 'ikan', 'kemarin', 'lampir', 'proposal']"
12,10/13/20,mahasiswa,<DOC>,1,1,2,4,['doc']
13,10/13/20,mahasiswa,Apabila terdapat hal yang kurang dalam proposal tersebut saya mohon bimbingan dari Bapak. Terimakasih Pak .,1,1,2,4,"['proposal', 'mohon', 'bimbing', 'terima kasih']"
14,10/13/20,dosen,"P0, ke Pemb1 ya.. Saya manut",1,1,2,4,"['p0', 'pemb1', 'iya', 'manut']"
15,10/13/20,mahasiswa,Baik Pak. Akan saya konfirmasikan kembali ke Bu [DOSEN] terkait P0nya Pak. Terima kasih Pak .,1,1,2,4,"['konfirmasi', 'dosen', 'kait', 'p0nya', 'terima', 'kasih']"
16,10/14/20,mahasiswa,"Assalamualaikum Wr. Wb. Selamat sore Pak . Mohon maaf mengganggu waktu Bapak. Mohon maaf sebelumnya Pak, izin untuk melakukan konfirmasi ulang kepada Bapak terkait P0. Apakah disini saya tidak perlu melakukan presentasi P0 kepada Bapak dan diserahkan kepada dosen pembimbing 1 sepenuhnya atau bagaimana ya Pak? Sekali lagi mohon maaf Pak karena dari saya masih kurang paham Pak dan mohon maaf jika terdapat salah kata.",1,1,3,4,"['assalamualaikum', 'wr', 'wb', 'selamat', 'sore', 'mohon', 'maaf', 'ganggu', 'mohon', 'maaf', 'izin', 'laku', 'konfirmasi', 'ulang', 'kait', 'p0', 'laku', 'presentasi', 'p0', 'serah', 'dosen', 'bimbing', '1', 'sepenuh', 'iya', 'mohon', 'maaf', 'paham', 'mohon', 'maaf', 'salah']"
17,10/14/20,dosen,Wa'alaikumsalam.. Iya,1,1,3,4,"['wa', 'alaikumsalam', 'iya']"
18,10/14/20,dosen,Saya approve & saran,1,1,3,4,"['setujui', 'saran']"
19,10/14/20,mahasiswa,Baik Pak. Saya coba konfirmasi kembali ke Bu [DOSEN]. Terima kasih Pak .,1,1,3,4,"['coba', 'konfirmasi', 'dosen', 'terima', 'kasih']"
20,10/22/20,mahasiswa,Assalamualaikum Wr. Wb. Selamat siang Pak . Mohon maaf mengganggu waktu Bapak. Saya [MHS] mahasiswa bimbingan skripsi Bapak. Mohon maaf juga sebelumnya Pak. Maksud saya menghubungi Bapak karena ingin konsultasi terkait proposal. Saya izin untuk menyampaikan informasi bahwa pada hari selasa kemarin saya sudah melakukan P0 dan melakukan bimbingan dengan Bu dosen selaku dosen pembimbing 1. Saya menanyakan tentang rumusan masalah yang ada pada proposal saya Pak. Kemudian dari Bu dosen memberikan saran jika rumusan masalah di proposal saya perlu diganti karena penelitian saya adalah non implementatif. Jadi pada rumusan masalah tidak perlu adanya implementasi metode. Dengan langsung saya mengganti rumusan masalah yang saya buat sebelumnya dan telah disetujui oleh Bu dosen untuk rumusan masalah yang baru. Berikut saya lampirkan proposal saya Pak.,1,-1,4,4,"['assalamualaikum', 'wr', 'wb', 'selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'mahasiswa', 'mahasiswa', 'bimbing', 'skripsi', 'mohon', 'maaf', 'maksud', 'hubung', 'konsultasi', 'kait', 'proposal', 'izin', 'informasi', 'selasa', 'kemarin', 'laku', 'p0', 'laku', 'bimbing', 'dosen', 'dosen', 'bimbing', '1', 'rumus', 'proposal', 'dosen', 'saran', 'rumus', 'proposal', 'ganti', 'teliti', 'non', 'implementatif', 'rumus', 'implementasi', 'metode', 'langsung', 'ganti', 'rumus', 'tuju', 'dosen', 'rumus', 'lampir', 'proposal']"
21,10/22/20,mahasiswa,<DOC>,1,-1,4,4,['doc']
22,10/22/20,mahasiswa,Saya mohon bimbingan dari Bapak apabila terdapat saran atau revisi terkait proposal saya. Terima kasih Pak .,1,-1,4,4,"['mohon', 'bimbing', 'saran', 'revisi', 'kait', 'proposal', 'terima', 'kasih']"
23,11/3/20,mahasiswa,"Assalamualaikum Wr. Wb. Selamat siang Pak . Mohon maaf mengganggu waktu Bapak. Saya [MHS] mahasiswa bimbingan skripsi Bapak. Mohon maaf juga sebelumnya Pak, maksud saya menghubungi Bapak karena ingin melakukan konsultasi tentang proposal yang saya kerjakan dan telah saya kirim sebelumnya Pak. Apakah terdapat revisi atau saran dari Bapak terkait proposal yang saya kerjakan Pak? Kemudian mohon maaf juga sebelumnya Pak, saya izin untuk menyampaikan informasi bahwa pada tanggal 23 Oktober 2020 saya telah melakukan upload proposal dan telah dilakukan verifikasi oleh Bu dosen, Pak dan progresan saya saat ini sudah mengerjakan hingga Bab 4 Pak. Apakah saya kirimkan juga Pak pengerjaan skripsi hingga bab 4nya? Terima kasih Pak . Mohon maaf jika terdapat salah kata Pak.",1,1,5,4,"['assalamualaikum', 'wr', 'wb', 'selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'mahasiswa', 'mahasiswa', 'bimbing', 'skripsi', 'mohon', 'maaf', 'maksud', 'hubung', 'laku', 'konsultasi', 'proposal', 'kerja', 'kirim', 'revisi', 'saran', 'kait', 'proposal', 'kerja', 'mohon', 'maaf', 'izin', 'informasi', 'tanggal', '23', 'oktober', '2020', 'laku', 'unggah', 'proposal', 'laku', 'verifikasi', 'dosen', 'progres', 'kerja', 'bab', '4', 'kirim', 'kerja', 'skripsi', 'bab', '4nya', 'terima', 'kasih', 'mohon', 'maaf', 'salah']"
