timestamp,sender,messages,sentiment_per_chat,sentiment_per_sesi
05/03/20,mahasiswa,"Assalamualaikum Wr. Wb. Selamat pagi Bu [DOSEN], mohon maaf mengganggu waktunya. Perkenalkan nama saya [MHS] (TIF’16) dengan keminatan KC. Saya salah satu mahasiswa bimbingan skripsi ibu. Saya ingin bertanya terkait pelaksanaan p0 skripsi saya. Saya sudah melaksanakan p0 dengan dosen 1 saya yakni Pak Imam. Kira-kira apakah ibu ada waktu untuk p0 pada hari ini sebagai dosen 2 saya bu? Terima kasih Bu untuk sebelum dan sesudahnya.. Wassalamualaikum ",1,1
05/03/20,dosen,Waalaikumsalam...iya bs 10.15-12.00,1,1
05/03/20,mahasiswa,baik bu terima kasihh,1,1
09/04/20,mahasiswa,"Assalamualaikum Wr. Wb. Selamat siang Bu, mohon maaf mengganggu waktunya. Saya ingin bertanya bu, kira-kira apakah ibu ada waktu untuk konsultasi terkait skripsi saya untuk hari ini? Terima kasih bu untuk sebelum dan sesudahnya.. Wassalamualaikum ",1,1
09/04/20,dosen,Waalaikumsalam wr wb...,1,1
09/04/20,dosen,Iya,1,1
09/04/20,mahasiswa,maaf bu sebelumnya untuk pengiriman dokumen dan poin yang ingin ditanyakan bisa dikirim melalui media apa yaa bu?,1,1
09/04/20,dosen,Wa saja,1,1
09/04/20,mahasiswa,baik bu..,1,1
09/04/20,mahasiswa,"Sebelumnya mohon maaf saya belum ada melakukan bimbingan lagi bu. Hal tersebut dikarenakan saya masih bingung dan berusaha mencari serta memahami langkah-langkah algoritma Kernel Extreme Learning Machine yang saya terapkan pada skripsi saya. Berikut beberapa poin revisi pada skripsi saya bu setelah konsultasi terakhir kita bu: Bab 1: - Latar belakang diberikan tambahan alasan menggunakan studi kasus saham PT. Telkom Bab 2: - Tambahan penjelasan bada bagian PER - Perubahan langkah-langkah algoritma KELM Bab 3: - Perubahan teknik analisis data - Perubahan flowchart KELM Bab 4: - Perubahan algoritma KELM - Perubahan flowchart KELM - Tambahan sebagian flowchart (belum selesai) - Tambahan manualisasi - Tambahan perancangan pengujian Ada beberapa poin yang ingin saya tanyakan. Mungkin sekiranya ibu berkenan memberikan masukan. Berikut pertanyaan saya: 1. Untuk pembentukan flowchart, tiap flowchart merepresentasikan satu method atau bagaimana yaa bu? 2. Untuk pengujian fungsi kernel, apakah perlu dijelaskan pada bab 3 tentang formulasi fungsi-fungsi kernel yang akan diuji? 3. Penginstansiasi nilai apakah perlu untuk dimasukkan ke flowchart bu? 4. Untuk method yang memiliki parameter, parameternya apakah dimasukkan ke flowchart sebagai data input? Sekian beberapa pertanyaan dari saya bu. Berikut saya lampirkan softcopy dari dokumen skripsi saya. Terima kasih bu untuk sebelum dan sesudahnya. Wassalamualaikum Wr. Wb.  ",1,1
