timestamp,sender,messages,sentiment_per_chat,sentiment_per_sesi
14/02/20,mahasiswa,"Assalamu’alaikum Pak [DOSEN], perkenalkan saya [MHS] dari Informatika 2016. Saya mahasiswa bimbingan skripsi bapak yang mengajukan topik mengenai omzet rumah makan. Saya ingin memberitahukan bahwa saya sudah mengupload praproposal pada filkom apps. Mohon maaf jika ada salah kata dan mengganggu waktu bapak. Terima kasih",1,-1
21/02/20,mahasiswa,"Assalamu’alaikum, mohon maaf mengganggu waktunya pak. Saya [MHS] mahasiswa bimbingan bapak. Apakah hari ini saya bisa bimbingan ke bapak? Saya ingin menanyakan juga mengenai filkom apps saya yg mungkin terjadi bug. Mohon maaf mengganggu waktunya pak, terima kasih banyak",1,1
21/02/20,dosen,Wa'alaykumsalam. InsyaAllah hari Selasa siang ya.. Permasalahan apa di appsnya?,1,1
21/02/20,mahasiswa,<DOC>,1,1
21/02/20,mahasiswa,<DOC>,1,1
21/02/20,mahasiswa,"Pada tampilan tersebut pak [DOSEN], sudah bersedia. Mohon maaf bila ada salah kata pak. Terima kasih",1,1
21/02/20,dosen,Mgkn belum diplot dosbing 2 nya oleh KPS,1,1
21/02/20,mahasiswa,"Ohh begitu ya pak, terima kasih atas infonya. Mohon maaf mengganggu waktunya pak",1,1
25/02/20,mahasiswa,"Assalamu’alaikum Pak [DOSEN], saya  mahasiswa bimbingan skripsi bapak. Saya ingin menanyakan apakah hari ini saya bisa bimbingan ke bapak? Mohon maaf bila ada salah kata dan mengganggu waktu bapak. Terima kasih",1,-1
30/03/20,mahasiswa,"Assalamu’alaikum pak , mohon maaf mengganggu waktunya. Untuk bimbingan onlinenya prosedurnya seperti apa ya pak? Terima kasih",1,1
30/03/20,dosen,Wa'alaykumsalam. Bisa bimbingan via wa ini,1,1
30/03/20,mahasiswa,Pengumpulan progresnya dikumpulkan melalui wa jg pak?,1,1
30/03/20,dosen,Iya,1,1
30/03/20,dosen,Laporannya,1,1
30/03/20,mahasiswa,"Baik pak, terima kasih atas informasinya",1,1
27/07/20,mahasiswa,"Assalamu'alaikum Pak . Saya [DOSEN] dari Informatika 2016 sebagai mahasiswa bimbingan skripsi bapak. Saya mohon maaf sebesar besarnya karena sebagai tidak ada kabar, disebabkan laptop saya terkena ransomeware (.lezp) sehingga semua data pada laptop saya terenkripsi dan saya tidak bisa membukanya, pada skripsinya sudah berhasil saya backup secara berkala, tetapi pada data yang saya gunakan hilang karena saya lupa dibackup. Baru minggu kemarin saya mendapat izin dari orangtua saya kembali ke malang agar dapat mengambil data saya kembali. Saya bertujuan untuk melanjutkan judul saya pada semester depan, dan mengajukan Bapak  menjadi pembimbing saya lagi. Apakah bapak bersedia menjadi dosen pembimbing saya pada semester depan? Sekali lagi saya minta maaf, terima kasih atas waktunya. Wassalamu'alaikum wr wb",1,1
27/07/20,dosen,"Wa'alaykumsalam. Knp lama sekali ga ada kabar dan baru skrg beri kabar? Sebaiknya selalu komunikasi dgn dosen pembimbing, terutama jika ada masalah atau kendala. Jika mmg ingin msh ttp sbg pembimbing skripsi anda, maka harus rutin utk konsultasi, apapun progres yg sdh anda kerjakan, baik ada kendala maupun tidak..",-1,1
27/07/20,mahasiswa,"Mohon maaf pak, saya pikir saya boleh ke malang pada april akhir trrnyata tidak boleh. Selanjutnya saya akan selalu berkonsultasi mengenai semua progresnya pak🙏",1,1
27/07/20,dosen,Ok,1,1
27/07/20,dosen,Komitmen anda sy catat ya..,1,1
27/07/20,mahasiswa,"Terima kasih banyak pak, baik",1,1
04/08/20,mahasiswa,"Assalamu’alaikum pak [DOSEN], untuk bimbingan skripsi apakah ada jadwalnya atau tidak? Terima kasih",1,1
04/08/20,dosen,Wa'alaykumsalam.. Silakan bs sewaktu2,1,1
04/08/20,mahasiswa,"Besok apakah bapak membuka bimbingan? Saya sudah mengerjakan manualisasi tetapi hasil errornya sangat tinggi, ingin menanyakan mengenai hal tersebut",1,1
04/08/20 14.07.08],dosen,Ok,1,1
04/08/20,mahasiswa,Sekiranya jam berapa ya pak?,1,1
04/08/20,dosen,Silahkan dikirim sj dokumennya,-1,1
04/08/20,mahasiswa,"Baik pak, saya rapihkan dulu. Besok saya kirim excel dengan berbagai fitur yang berbeda",1,1
05/08/20,mahasiswa,<DOC>,1,1
05/08/20,mahasiswa,"Assalamu'alaikum pak [DOSEN], berikut saya lampirkan mengenai dokumen manualisasi saya, Terima kasih banyak",1,1
05/08/20,dosen,Wa'alaykumsalam. Ok nnt sy cek,1,1
05/08/20,mahasiswa,"Baik pak, terima kasih",1,1
19/08/20,mahasiswa,"Assalamu’alaikum pak, saya sudah submit praproposal pada filkom apps atas nama [MHS]. Saat ini progres saya sudah mengerjakan bab 4. Insyaallah besok akan saya lampirkan dokumennya. Terima kasih banyak atas waktunya Pak ",1,1
19/08/20,mahasiswa,"Saya ingin menanyakan juga perihal flowchart, apkah harus detail atau gambaran umumnya saja pak? Terima kasih",1,1
19/08/20,dosen,Flowchart bisa digambarkan alur program scr umum lalu bisa didetailkan,1,1
19/08/20,mahasiswa,Baik pak terimakasish banyak,1,1
25/08/20,mahasiswa,"Assalamu'alaikum pak [DOSEN]. saya ingin menanyakan waktu bimbingan skripsi untuk membahas p0 dengan bapak. Sekiranya kapan saya bisa melakukan bimbingan? Terima kasih atas waktunya, mohon maaf mengganggu",1,1
25/08/20,dosen,Silahkan bisa disampaikan disini,1,1
25/08/20,mahasiswa,<DOC>,1,1
25/08/20,mahasiswa,"Berikut saya lampirkan mengenai dokumennya, terima kasih banyak pak",1,1
25/08/20,dosen,"Ok, nnt sy cek",1,1
25/08/20,mahasiswa,Baik terimakasih banyak pak,1,1
01/09/20,mahasiswa,"Assalamu’alaikum Pak [DOSEN], saya ingin menanyakan apakah ada revisi atau saran untuk dokumen saya kemarin? Terima kasih",1,1
04/09/20,dosen,<DOC>,1,1
04/09/20,dosen,Wa'alaykumsalam.. Berikut revisinya.. Perhatikan penulisannya..,1,1
04/09/20,mahasiswa,"Baik pak, terimakasih banyak",1,1
