timestamp,sender,messages,sentiment_per_chat,sentiment_per_sesi
30/07/19,mahasiswa,"Assalamualaikum Wr.Wb, permisi Bu [DOSEN], mohon maaf jika mengganggu. perkenalkan saya [MHS], mahasiswi Teknik Informatika 2016 FILKOM yang rencananya pada semester ganjil ini mengambil mata kuliah induksi riset, kira-kira ibu membuka kelas induksi riset tidak ya? kalo sekiranya ibu buka kelas, rencananya saya mau ikut kelas ibu. terimakasih ibu. Wassalamualaikum Wr.Wb",1,-1
31/07/19,dosen,Waalaikumsalam wr wb,1,1
31/07/19,dosen,"Saya belum tentu membuka kelas induksi riset, jika kuota tidak memenuhi. Untuk lebih jelasnya, lebih baik bertemu secara tatap muka, terkait dengan topik yang diusulkan apakah sesuai atau tidak.",1,1
31/07/19,mahasiswa,"baik bu, apabila ibu berkenan kira-kira kapan dan dimana ya saya bisa bertemu ibu untuk mengkonsultasikan topik saya? terima kasih.",1,1
31/07/19,dosen,Hari ini saya ada rapat sampai sore. Kemungkinan bisa besok jam 11 ya sementara,1,1
31/07/19,mahasiswa,"baik bu, terima kasih🙏",1,1
01/08/19,dosen,https://www.researchgate.net/publication/326571864_Analisis_Sentimen_Pada_Review_Konsumen_Menggunakan_Metode_Naive_Bayes_Dengan_Seleksi_Fitur_Chi_Square_Untuk_Rekomendasi_Lokasi_Makanan_Tradisional,1,-1
08/10/19,dosen,https://bib.irb.hr/datoteka/993359.IJDTE_03_01.pdf,1,-1
08/10/19,dosen,https://www.cscjournals.org/manuscript/Journals/IJDE/Volume2/Issue4/IJDE-63.pdf,1,-1
08/10/19,dosen,http://www.statstutor.ac.uk/resources/uploaded/coventrycorrelation.pdf,1,-1
08/10/19,dosen,https://www.researchgate.net/publication/267869238_Towards_Reliable_Clustering_of_English_Text_Documents_Using_Correlation_Coefficient,1,-1
08/10/19,dosen,https://medium.com/@dipti.rohan.pawar/correlation-statistical-analysis-9471411f0431,1,-1
08/10/19,dosen,https://medium.com/@SilentFlame/pearson-correlation-a-mathematical-understanding-c9aa686113cb,1,-1
08/10/19,dosen,https://medium.com/@sebastiannorena/finding-correlation-between-many-variables-multidimensional-dataset-with-python-5deb3f39ffb3,1,-1
08/10/19,dosen,https://towardsdatascience.com/running-pearson-correlation-using-magicstat-6aa8dd4c39,1,-1
08/10/19,dosen,https://www.sciencedirect.com/topics/computer-science/pearson-correlation,1,-1
08/10/19,dosen,http://www.statstutor.ac.uk/resources/uploaded/pearsons.pdf,1,-1
15/10/19,mahasiswa,"Assalamualaikum Wr.Wb Bu [DOSEN]. Maaf bu hari ini saya ijin datang terlambat untuk bimbingan skripsi dikarenakan bersamaan dengan bimbingan pkl saya Bu. Terimakasih sebelumnya, maaf mengganggu🙏",1,-1
28/10/19,mahasiswa,"Assalamualaikum Wr.Wb Bu [DOSEN]. Maaf bu hari ini saya ijin tidak datang bimbingan karena saya sedang tidak enak badan Bu. Terimakasih sebelumnya, maaf mengganggu🙏",1,1
28/10/19,dosen,Waalaikumsalam wr wb,1,1
28/10/19,dosen,Semoga lekas sehat kembali ya mbak ,1,1
28/10/19,dosen,Terima kasih,1,1
28/10/19,mahasiswa,"Baik bu, terima kasih🙏",1,1
