timestamp,sender,messages,sentiment_per_chat,sentiment_per_sesi
05/09/19,mahasiswa,"Assalamualaikum wr wb. Selamat sore pak, mohon maaf mengganggu waktunya. Saya [MHS] mahasiswa Teknik Informatika Filkom angkatan 2016, ingin mengajukan topik skripsi. Kira-kira kapan saya bisa menemui bapak ? Terima kasih pak. Wassalamualaikum Wr.Wb.",1,1
05/09/19,dosen,Wa'alaikumsalam wr wb. In Syaa Allah hari selasa jam 12.30.,1,1
05/09/19,mahasiswa,"Baik pak [MHS], terimakasih pak",1,1
16/09/19,dosen,"Assalamu'alaikum wr wb. [MHS], apakah ada request untuk calon dosbing dosen ke-2 anda?",1,-1
16/09/19,mahasiswa,"Wa'alaikumsalam wr wb Ada pak yaitu pak [DOSEN]. Tapi kalau dari menurut bapak ada saran yang lebih baik , boleh disarankan ke saya pak. Terimakasih pak.",1,-1
16/09/19,dosen,Tlg beri saya alternatif ke-2 selain beliau?,1,-1
16/09/19,mahasiswa,"Jadi saya ada 3 alternatif dosen pak yang saya request yaitu bu [DOSEN], pak [DOSEN], dan pak [DOSEN].",1,-1
17/09/19,dosen,Noted. 👍,1,1
19/12/19,mahasiswa,"Assalamualaikum wr wb. Selamat sore pak, mohon maaf mengganggu waktunya dan mohon maaf saya menghubungi bapak di luar jam kerja. Saya [MHS] mahasiswa Teknik Informatika Filkom angkatan 2016, ingin berkonsultasi mengenai topik skripsi. Kira-kira kapan saya bisa menemui bapak ? Terima kasih pak. Wassalamualaikum Wr.Wb.",1,1
19/12/19,dosen,Wa'alaikumsalam wr wb. In Syaa Allah saya ada waktu besok senin jam 13.00.,1,1
19/12/19,mahasiswa,"Baik pak [DOSEN], terima kasih pak 🙏🏻",1,1
26/12/19,mahasiswa,"Assalamualaikum wr wb. Selamat sore pak, mohon maaf mengganggu waktunya. Saya [MHS] mahasiswa Teknik Informatika Filkom angkatan 2016, ingin berkonsultasi mengenai topik skripsi. Kemarin senin saya sudah menunggu di ruangan tp bapak tidak ada. Kira-kira kapan saya bisa menemui bapak ? Terima kasih pak sebelumnya. Wassalamualaikum Wr.Wb.",1,1
26/12/19,dosen,Wa'alaikumsalam wr wb. In Syaa Allah saya ada waktu besok jam 10.00.,1,1
26/12/19,mahasiswa,"Baik pak , terima kasih pak 🙏🏻",1,1
09/01/20,mahasiswa,"Assalamualaikum wr wb. Selamat sore pak, mohon maaf mengganggu waktunya. Saya [MHS] mahasiswa Teknik Informatika Filkom angkatan 2016, ingin berkonsultasi mengenai topik skripsi. Apakah saya bisa menemui bapak besok pada hari Jum'at? Terima kasih pak sebelumnya. Wassalamualaikum Wr.Wb.",1,1
09/01/20,dosen,Wa'alaikumsalam wr wb. In Syaa Allah besok jam 3 sore.,1,1
09/01/20,mahasiswa,"Baik pak, terima kasih pak 🙏🏻",1,1
10/01/20,dosen,"Assalamu'alaikum wr wb. [MHS], In Syaa Allah jadwal bimbingannya saya reschedule menjadi jam 9 pagi hari ini. 🙏",1,1
10/01/20,mahasiswa,Waalaikumsalam wr wb. Mohon maaf Pak [DOSEN]. Saya habis jatuh di kamar mandi waktu siap-siap mau ke kampus tadi. Untuk sekarang saya belum bisa ke kampus pak. Apakah untuk bimbingannya bisa diganti hari pada hari senin pak? Terima kasih pak🙏🏻,1,1
10/01/20,dosen,In Syaa Allah besok senin jam 10 pagi.,1,1
10/01/20,mahasiswa,"Baik pak, terima kasih banyak pak 🙏🏻",1,1
27/02/20,mahasiswa,"Assalamualaikum wr wb. Selamat sore pak, mohon maaf mengganggu waktunya. Saya [MHS] mahasiswa Teknik Informatika Filkom angkatan 2016, ingin melakukan bimbingan skripsi. Apakah saya bisa menemui bapak besok pada hari Jum'at? Terima kasih pak sebelumnya. Wassalamualaikum Wr.Wb.",1,1
27/02/20,dosen,Wa'alaikumsalam wr wb. In Syaa Allah saya ada waktu besok jam 14.30.,1,1
27/02/20,mahasiswa,"Baik pak, terima kasih pak 🙏🏻",1,1
05/03/20,mahasiswa,"Assalamualaikum wr wb. Selamat siang pak, mohon maaf menganggu waktunya. Saya [MHS] Informatika 2016. Saya ingin konsultasi mengenai topik skripsi saya pak. Jadi kemarin skripsi saya mengenai ""Implementasi Metode Kalman Filter Untuk Prediksi Harga Bahan Pokok di Jawa Timur Berdasarkan Scraping Data Web Siskaperbapo"" namun saya mendapat beberapa kendala pak. Datanya terlalu banyak, akan mendapatkan hasil yang tidak bagus pak karena perubahan data tiap indikator beda beda. Untuk saat ini saya ingin memfokuskan pada 1 objek pak. Sejauh ini saya sudah mengerjakan skripsi dengan judul ""Implementasi Metode Backpropagation Untuk Prediksi Harga Pasar Cabai Keriting di Kota Malang"" Alasan saya memilih cabai karena pada saat ini cabai yang mengalami perubahan harga yang tidak stabil. Apakah di perbolehkan saya mengganti topik skripsi pak? Terimakasih pak sebelumnya 🙏🏻. Wassalamualaikum wr wb.",1,1
05/03/20,dosen,"Wa'alaikumsalam Wr. Wb. Baik [MHS], saya ijinkan ganti judul. Mohon mengirimkan base judul yg baru by wa/grup ini utk saya P0 lebih awal sebelum tgl 6 Maret 2020 (Shg pelaksanaan P0 bisa lebih longgar, misal dengan dosbing ke-2 atau tetap mandiri ke msg"" dosbing, meskipun melebihi tgl tersebut): Nama: .. Objek: ... Permasalahan: .. Metodologi: .. Plan tgl P1: .. Plan tgl P2: .. ==================== 1. Nama: [MHS] Objek: Optimasi Penyusunan Barang Dalam Bidang Dua Dimensi Menggunakan Algoritme Genetika Permasalahan: Selama ini Penyusunan Barang dilakukan secara manual, Waktu Penyusunan yang cukup lama, Banyaknya Pesanan Barang sedangkan SDM terbatas Metodologi: Studi Pustaka, Pengumpulan Data, Analisis Kebutuhan, Analisis Perancangan, Implementasi Sistem, Pengujian Sistem (Pengujian Akurasi), Kesimpulan dan Saran (buat standar sama seperti ini tdk apa"") Plan tgl P1: 1 April 2020 (range filkomApp: Mar 02, 2020 - Apr 10 2020) Plan tgl P2: 29 April 2020 (range filkomApp: Mar 30, 2020 - May 29, 2020) 2. .... Monggo dilanjutkan. Terimakasih. 🤓🙏",1,1
