timestamp,sender,messages,sentiment_per_chat,sentiment_per_sesi
28/09/20,mahasiswa,"Selamat sore, Pak [DOSEN]. Mohon maaf mengganggu waktunya. Saya  salah satu mahasiswi bimbingan bapak prodi TIF 2017. Saya ingin bertanya pak, sebelumnya pada pra-proposal saya metode yang saya gunakan untuk perancangan ux adalah design sprint. Setelah saya pelajari lebih lanjut, design sprint tidak dapat diterapkan pada studi kasus saya di SDN Wates. Saya ingin mengganti metode dengan design thinking pada proposal saya apakah boleh, pak? Mohon maaf, sebelumnya Pak  meminta untuk menghubungi calon dosen pembimbing 2 terlebih dahulu, namun informasi yang saya dapat dosen pembimbing 2 didapat ketika proposal sudah diajukan pak. Mohon bantuannya. Terimakasih atas waktunya.",1,-1
28/09/20,dosen,"boleh, diperbaiki dan didiskusikan dgn calon pembimbing 2",1,-1
28/09/20,dosen,sebelum proposal,1,-1
29/09/20,mahasiswa,"Baik Pak, sedang saya diskusikan dengan Bu [DOSEN]. Terimakasih banyak atas waktunya pak.",1,-1
02/10/20,mahasiswa,"Selamat pagi Pak [DOSEN]. Mohon maaf mengganggu waktunya. Saya [MHS] salah satu mahasiswi bimbingan skripsi bapak. Maaf pak saya ingin memberi tahu bahwa Bu dosen bersedia menjadi pembimbing 2 saya. Proposal juga sudah dikoreksi oleh Bu dosen. Proposal saya kirim ke Bapak terlebih dahulu, atau langsung saya ajukan ke filkom apps pak? Terimakasih banyak pak.",1,1
02/10/20,dosen,diajukan dulu saja mbak,1,1
02/10/20,mahasiswa,"Baik pak, terimakasih banyak.",1,1
08/10/20,mahasiswa,"Selamat siang, pak [DOSEN]. Mohon maaf mengganggu waktunya. Saya [MHS] salah satu mahasiswa bimbingan bapak, TIF 2017. Saya ingin bertanya terkait point-point latar belakang yang perlu saya perbaiki. Saya konsultasikan kembali dengan Bu dosen atau bagaimana, pak? Terimakasih, mohon bimbingannya Pak.",1,1
08/10/20,dosen,"benar, dikonsultasikan dengan Bu [DOSEN] dl, nanti hasil revisinya baru ditunjukkan ke saya",1,1
09/10/20,mahasiswa,Baik Pak [DOSEN]. Lalu untuk P0 menunggu hasil revisi latar belakang terlebih dahulu atau sudah bisa saya ajukan Pak?,1,1
09/10/20,dosen,"hasil revisi saja yang nanti di p0 kan sekalian,",1,1
09/10/20,dosen,minggu depan ya p0,1,1
09/10/20,mahasiswa,"Baik pak [DOSEN]. Untuk P0nya bersamaan dengan dosen pembimbing 2 atau tidak, pak?",1,1
09/10/20,dosen,sebisa mungkin bersama,1,1
09/10/20,mahasiswa,"Baik Pak [DOSEN], akan saya sampaikan ke Bu dosen. Terimakasih banyak, Pak.",1,1
09/10/20,dosen,Kamis minggu depan jam 9:00 WIB ya p0,1,1
09/10/20,dosen,disiapkan,1,1
09/10/20,mahasiswa,Baik Pak ,1,1
13/10/20,dosen,"Mbak, saya hari kamis kebetulan ada agenda mendadak dari pagi, sehingga p0 kita reschedule jumat ya",1,1
13/10/20,mahasiswa,Baik Pak [DOSEN]. Untuk jam nya bagaimana Pak? Saya jam 08:40 - 11:09 ada kelas dan siangnya ada kelas induksi risetnya Pak [DOSEN] dari jam 12:50.,1,1
13/10/20,dosen,waktu induksi riset itu aja gpp.,1,1
13/10/20,mahasiswa,Baik Pak [DOSEN]. Terimakasih informasinya.,1,1
16/10/20,mahasiswa,"Selamat Pagi, Pak [DOSEN]. Mohon maaf mengganggu waktunya. Saya , salah satu mahasiswi bimbingan bapak, TIF 2017. Siang ini saya akan melaksanakan P0, berikut saya lampirkan proposal yang telah saya perbaiki untuk keperluan P0 siang ini, Pak. Terima kasih banyak. Selamat pagi.",1,1
16/10/20,mahasiswa,<DOC>,1,1
16/10/20,mahasiswa,"Selamat siang, pak. Berikut adalah link meet P0 saya https://meet.google.com/wjr-goww-gxe.",1,1
16/10/20,dosen,mulai 13:30 ya saya masih rapat dgn Kajur,1,1
16/10/20,dosen,bu [DOSEN] direminder juga ya,1,1
16/10/20,mahasiswa,Baik Pak ,1,1
02/12/20,mahasiswa,"Selamat Sore, Pak [DOSEN]. Mohon maaf mengganggu waktunya. Saya [MHS], salah satu mahasiswi bimbingan bapak, TIF 2017. Saya ingin bertanya mengajukan P1 Pak, apakah dilaksanakan sewaktu kelas induksi riset atau bagaimana, Pak? Saya belum mendapat revisi bab 4 dari Bu [DOSEN] selaku dosen pembimbing 2 saya. Saya lihat jadwal P1 di filkom apps terakhir hari Jum'at ini sesuai dengan jadwal induksi riset bapak. Terimakasih, pak. Mohon maaf mengganggu waktunya.",1,1
02/12/20,dosen,"bisa terpisah mbak untuk p1, dengan saya waktu induksi riset saja",1,1
02/12/20,mahasiswa,"Baik, pak [DOSEN]. Untuk proposalnya apa saya kirim ke bapak?",1,1
02/12/20,dosen,jumat saja mbak sekalian di tunjukkan,1,1
02/12/20,mahasiswa,"Baik Pak [DOSEN]. Terimakasih banyak, Pak.",1,1
12/01/21,mahasiswa,"Selamat siang, Pak [DOSEN]. Saya  salah satu mahasiswi bimbingan skripsi bapak. Saat ini skripsi saya baru sampai tahap P1, saya masih dalam tahap pembuatan prototype, Pak. Saya berencana P2 di minggu ini. Namun apabila dokumen skripsi saya masih belum selesai, dapatkah saya melanjutkan skripsi ini di semester genap, Pak? Dengan bapak dan Bu [DOSEN] sebagai pembimbing saya seperti saat ini. Mohon bantuannya Pak. Terimakasih sebelumnya, mohon maaf mengganggu waktunya. Selamat siang.",1,1
12/01/21,dosen,"walaikumsallam, dikerjakan progres realnya saja, nanti masalah administrasi sistem bisa diatur. yang penting kerjaan skripsinya tidak jauh2 dari timeline target kemarin, jadi semisal semester depan lanjut silahkan saja",1,1
12/01/21,mahasiswa,"Baik Pak [DOSEN], terimakasih. Akan segera saya selesaikan.",1,1
